temp,weekday,cost,price,sales
26.8,5,0.3,8,191
27.6,2,0.5,3,214
28.8,1,1.5,5,237
26.8,7,0.5,6,235
23.3,5,0.3,10,183
29.4,3,1.0,3,209
20.3,2,0.3,7,167
23.9,7,0.5,9,200
27.4,6,0.5,6,198
22.9,5,0.5,3,205
26.9,1,1.0,7,224
20.8,5,0.5,6,175
21.8,4,1.0,7,188
26.2,4,0.5,4,193
26.8,1,0.5,6,236
28.8,4,1.5,3,219
23.7,2,1.5,6,197
25.2,1,1.5,3,244
26.5,2,1.5,8,212
25.9,7,1.0,9,188
18.8,3,1.5,5,185
21.7,6,0.5,5,189
29.8,6,0.3,10,226
19.0,6,0.3,6,167
26.5,4,1.0,7,204
22.3,5,0.3,3,194
28.0,3,0.3,3,208
20.9,7,0.3,7,221
24.2,7,1.5,5,240
15.9,4,1.0,5,182
23.8,7,1.5,8,208
28.3,3,1.5,9,225
18.0,7,0.5,3,232
28.7,5,0.5,8,199
21.1,6,0.5,10,193
23.8,2,1.5,8,189
12.9,2,0.5,8,155
28.3,5,0.3,9,199
20.5,6,1.0,7,182
21.8,1,1.5,5,238
18.9,7,0.3,7,227
20.0,4,0.5,4,185
28.6,4,0.5,8,211
22.0,6,0.3,8,184
27.6,1,0.3,6,235
23.3,5,0.3,6,184
25.4,6,1.0,10,219
22.0,6,0.5,4,191
25.7,3,0.5,8,191
34.4,2,1.5,8,240
26.6,1,1.5,6,218
26.0,6,0.3,5,194
22.1,1,1.0,10,195
28.0,1,0.5,5,241
29.4,3,0.5,10,222
17.2,6,1.5,3,182
18.5,3,1.0,9,181
32.4,2,1.5,7,223
25.7,2,0.3,7,187
24.5,7,1.5,6,227
26.3,7,1.0,5,247
28.4,4,0.3,7,194
27.2,2,1.0,10,216
23.1,2,1.5,5,197
32.3,6,1.5,3,220
24.1,7,1.0,7,220
20.5,1,1.0,5,234
21.8,5,1.5,8,183
23.5,7,1.0,4,242
22.5,2,0.5,7,185
23.2,1,0.3,5,235
25.3,5,1.0,5,199
10.9,2,0.5,6,149
20.9,1,0.3,3,245
27.8,3,0.3,10,211
26.3,5,1.5,8,202
21.3,5,1.0,6,184
21.5,7,0.5,10,187
28.6,2,0.3,10,204
23.0,2,0.5,9,186
21.9,3,0.3,9,179
31.4,3,0.5,6,208
22.5,1,0.3,6,242
26.7,3,0.3,9,206
23.8,1,1.5,7,212
24.2,4,1.5,5,196
20.2,6,0.3,7,171
20.7,7,1.5,5,235
29.0,5,1.5,6,201
19.4,6,0.5,7,173
25.1,2,1.0,4,199
19.2,5,0.3,5,181
23.0,6,0.5,4,202
23.9,5,1.5,5,199
17.5,1,1.5,6,227
28.5,3,1.5,8,213
23.3,3,1.5,3,195
28.9,5,1.0,7,206
20.3,1,1.5,9,193
27.6,1,1.0,8,203
33.3,6,1.5,6,235
24.9,4,1.5,8,204
21.4,2,1.0,5,185
25.9,1,1.5,9,177
24.6,7,1.5,5,232
23.2,2,0.3,10,193
23.5,7,1.0,9,189
21.7,2,1.0,6,192
25.7,4,0.5,3,198
22.5,3,0.3,4,188
20.6,2,1.0,8,180
27.3,7,0.5,10,174
23.3,6,0.5,6,178
34.6,1,0.5,8,205
23.0,3,0.3,6,184
21.1,3,0.5,4,183
21.8,2,0.5,8,178
25.5,7,0.5,9,198
21.2,2,0.3,3,186
18.9,1,1.0,8,200
30.6,3,1.5,6,216
19.0,5,0.5,8,180
30.1,4,0.3,4,201
24.6,3,0.5,10,196
19.8,2,0.3,4,185
30.7,3,0.3,10,221
23.2,1,1.5,3,254
20.0,2,1.5,9,188
24.3,4,0.5,3,201
29.1,1,1.0,4,241
26.7,1,1.0,8,202
27.3,1,0.5,4,248
31.0,6,1.5,3,215
24.9,7,0.3,4,256
25.5,1,0.5,7,226
23.1,6,0.5,9,192
18.2,3,0.3,10,170
23.4,2,1.0,4,202
30.5,5,1.5,8,218
17.1,3,0.3,5,175
29.4,2,0.3,5,200
25.0,1,1.5,9,188
20.4,2,0.3,6,176
24.3,3,1.0,5,191
31.1,6,1.0,10,231
21.7,7,1.0,7,220
27.2,2,0.5,4,210
28.5,4,0.3,3,205
20.4,4,1.5,8,192
26.5,7,1.5,4,239
26.1,3,1.5,6,205
22.1,5,1.0,5,187
26.7,6,0.3,3,201
22.6,1,1.0,10,172
21.7,6,1.5,7,188
19.1,3,1.5,9,199
25.5,5,0.5,6,198
22.3,2,0.3,9,184
21.8,3,1.0,6,188
19.4,5,0.5,8,174
18.5,5,0.5,8,172
20.8,2,0.3,9,170
26.9,5,1.5,3,207
20.7,6,1.5,5,195
29.8,7,1.5,9,183
25.6,2,1.0,3,213
24.6,6,0.5,6,193
19.2,7,0.5,5,243
31.8,5,1.5,9,228
18.2,5,1.5,8,180
26.1,5,1.5,4,206
30.8,6,0.5,4,206
23.2,3,1.5,4,204
21.3,4,1.0,6,180
23.9,7,1.5,7,220
27.7,3,0.5,9,211
29.4,6,1.0,8,216
26.4,1,0.5,5,244
19.7,2,0.5,5,172
21.3,3,1.0,8,188
24.8,1,1.5,9,180
18.9,5,1.0,3,202
23.0,7,1.5,9,189
33.0,4,0.5,9,230
19.8,4,1.5,7,176
28.6,7,1.5,6,219
20.3,5,1.5,3,196
22.6,1,1.5,6,224
23.7,6,1.5,8,198
18.0,4,1.0,6,165
23.6,3,0.3,4,186
29.2,1,0.5,7,226
26.9,7,1.5,4,252
26.8,2,1.5,5,210
20.8,4,0.3,4,193
23.4,1,0.3,4,244
24.8,5,1.0,3,202
26.7,2,1.0,7,194
29.4,1,0.3,3,248
20.0,7,1.5,4,246
30.8,5,1.0,6,206
22.9,7,1.0,7,224
23.0,1,1.5,3,245
19.2,7,1.0,6,229
23.7,1,0.5,8,207
23.1,7,1.5,5,236
19.1,1,0.5,7,230
22.8,7,1.0,7,216
24.5,5,1.5,9,208
22.4,7,1.5,7,203
27.1,1,0.5,6,230
19.9,7,0.5,5,247
27.6,2,0.5,9,203
23.3,5,1.0,10,202
25.5,5,1.5,3,209
16.6,1,1.5,9,196
24.5,7,0.5,7,233
23.8,2,1.0,8,192
27.7,5,1.0,8,206
19.3,4,0.3,8,168
29.5,6,0.5,6,196
19.7,3,1.5,6,185
29.3,6,1.0,7,206
26.3,2,1.5,6,201
21.0,6,0.3,4,186
32.7,6,1.5,7,220
19.2,4,1.5,4,184
23.3,2,1.5,3,201
24.8,7,1.5,3,249
26.1,7,1.0,8,198
24.9,1,1.5,5,230
27.2,6,1.0,9,210
25.8,2,0.5,10,204
24.1,1,1.0,6,228
20.3,3,0.5,4,183
22.6,5,0.5,6,171
27.6,2,0.5,5,204
19.3,2,1.5,10,192
24.4,6,0.5,4,188
15.8,7,0.3,10,201
21.2,5,0.5,6,181
17.5,6,1.5,7,180
29.0,3,1.0,10,232
16.7,7,0.3,10,195
23.0,5,0.5,8,176
26.9,7,0.3,10,187
26.4,4,1.5,4,202
27.1,4,0.3,5,200
28.2,7,1.5,3,249
25.9,7,0.5,8,209
27.3,5,1.5,7,205
23.8,7,1.5,6,224
23.9,7,1.5,7,221
17.0,5,1.5,3,195
24.7,1,1.0,4,252
29.1,1,0.3,9,199
21.0,3,1.0,6,183
19.3,6,1.5,4,181
24.4,7,1.0,3,242
28.5,4,0.3,6,200
28.8,4,1.5,3,216
18.0,6,0.5,5,172
25.8,4,0.3,5,195
21.4,4,0.3,5,174
25.1,5,0.5,3,206
15.0,4,1.5,7,164
27.7,7,1.5,7,226
22.4,1,0.5,4,252
24.8,7,0.5,4,252
23.3,2,0.3,6,183
19.9,3,1.5,8,186
26.1,4,1.0,8,201
22.1,3,1.0,6,176
21.2,7,1.0,5,236
26.6,3,1.5,4,202
23.7,2,0.5,7,187
21.2,5,0.5,10,192
27.8,7,1.5,8,199
21.6,4,1.5,3,192
23.9,4,0.5,9,192
26.9,3,1.0,8,204
27.8,2,1.5,4,206
28.8,7,0.3,9,199
30.6,7,0.3,10,180
24.2,1,1.0,5,233
20.8,5,0.3,5,178
30.6,7,1.5,9,185
29.6,4,1.0,4,209
22.8,7,0.3,7,219
26.8,7,0.3,6,233
22.5,1,0.3,10,184
17.8,7,1.0,5,235
28.2,4,0.3,9,198
25.4,7,1.5,8,203
24.5,3,1.5,6,196
30.8,4,0.5,7,206
29.7,1,0.5,3,252
21.4,6,1.0,8,193
19.6,6,0.3,7,177
16.4,5,0.3,8,155
24.0,1,0.5,9,203
22.5,6,0.3,10,192
25.5,3,0.3,8,190
24.1,6,0.3,8,185
21.4,3,0.5,8,177
22.4,4,1.5,8,202
17.8,3,0.3,10,167
28.9,1,0.5,10,171
21.9,4,1.5,6,195
26.4,1,0.3,6,232
21.4,2,0.5,3,198
24.3,6,0.3,8,190
26.5,7,1.5,3,247
22.9,2,1.5,3,207
20.7,5,0.5,4,185
33.3,7,0.5,3,258
23.2,7,0.3,5,247
26.3,6,1.0,4,196
23.7,6,1.5,6,201
20.9,2,1.0,9,190
29.3,6,1.5,6,213
25.6,1,0.3,3,259
25.4,6,0.3,3,185
14.9,7,1.5,9,196
25.1,7,1.5,5,234
27.4,6,0.3,6,195
25.1,6,0.3,5,197
23.4,5,0.3,3,188
28.8,5,0.5,3,209
25.0,3,1.0,4,203
26.3,2,0.5,6,195
28.1,3,0.3,6,196
28.0,4,1.0,7,202
18.7,6,1.0,9,181
25.3,5,1.5,4,199
21.0,5,1.5,10,209
16.0,6,1.0,4,175
25.1,7,0.3,5,245
17.0,7,0.3,6,237
22.1,1,1.5,8,199
14.0,7,1.5,6,222
19.9,2,1.0,9,183
22.1,1,0.5,6,241
24.0,1,1.0,3,258
21.8,6,1.0,7,185
20.3,1,1.5,7,217
20.4,5,0.5,5,173
30.1,7,1.5,10,161
22.1,5,0.5,10,186
23.6,5,1.0,6,189
31.5,7,1.0,7,216
17.0,7,0.3,9,211
15.7,7,1.5,5,230
19.9,5,1.5,5,187
22.4,3,1.5,5,197
19.4,3,1.5,10,196
23.8,4,1.5,4,201
23.6,3,1.5,8,193
17.8,6,0.3,10,168
24.6,7,1.0,8,209
18.3,2,0.5,6,175
26.8,6,0.3,3,204
24.9,6,0.3,3,201
32.7,3,0.5,7,216
27.3,1,0.3,9,191
23.2,7,0.3,6,247
25.3,2,0.5,7,185
24.6,2,0.3,9,190
21.0,1,1.5,5,240
18.2,5,1.5,10,185
28.4,7,0.3,10,184
30.0,7,1.0,4,242
22.1,5,1.5,10,208
22.9,2,1.5,6,184
22.0,7,1.0,6,231
28.0,3,0.3,8,194
28.8,4,1.5,5,211
20.5,1,0.3,3,249
22.6,3,1.5,5,189
21.8,2,1.0,9,201
24.8,3,0.3,9,202
27.1,7,1.0,4,250
28.3,4,0.3,9,204
22.9,1,1.5,8,203
20.0,7,1.5,8,199
26.1,6,0.3,7,189
26.4,1,1.5,8,202
22.6,6,1.5,3,195
24.7,1,0.5,4,252
25.4,3,0.3,3,198
27.5,4,1.0,6,206
24.3,4,0.3,6,190
25.9,6,1.0,10,224
24.7,3,1.5,7,197
20.1,3,0.5,4,175
26.8,3,0.5,9,206
24.4,7,1.5,6,223
28.2,2,1.0,8,212
19.3,5,0.5,3,193
21.2,1,1.0,7,229
25.3,2,1.5,3,214
17.1,6,0.3,9,176
23.5,2,1.0,4,184
22.2,5,1.0,8,197
22.3,4,0.5,7,175
23.0,5,1.0,10,201
15.1,5,0.5,5,163
24.2,3,0.5,3,199
24.3,5,1.0,7,190
28.2,2,0.5,4,207
29.8,1,1.0,10,170
25.4,1,1.5,4,241
27.7,5,1.0,4,209
14.4,2,1.0,6,165
26.2,3,1.5,8,215
28.4,6,1.0,9,202
27.5,4,0.5,4,195
24.9,7,0.3,8,215
22.6,2,1.5,8,198
22.5,5,0.3,4,187
24.1,1,0.3,8,222
25.7,3,0.5,4,197
26.3,5,0.3,7,194
23.6,6,1.5,10,203
19.0,5,0.5,7,178
31.3,2,0.5,3,219
20.5,2,0.3,3,190
13.3,6,1.0,9,164
29.7,5,0.3,6,201
28.1,2,1.5,3,218
24.8,4,0.5,5,196
27.9,3,1.5,10,228
25.8,5,0.5,7,189
20.7,2,0.3,10,187
24.5,1,1.0,9,185
19.1,5,0.3,4,182
21.4,1,1.5,9,185
20.5,5,0.5,6,174
24.6,3,0.3,7,184
28.3,1,1.5,3,258
21.4,4,1.0,5,189
25.8,4,1.5,4,201
15.5,4,1.5,6,166
19.7,4,1.0,3,199
26.1,3,0.5,6,192
27.8,2,0.5,9,210
27.8,3,0.5,3,216
28.3,6,0.5,6,205
17.4,6,0.3,4,196
21.9,7,1.0,3,245
13.7,3,1.0,4,172
23.4,6,1.5,3,202
24.9,7,0.3,8,216
22.6,7,1.0,10,175
20.3,5,0.3,8,176
25.7,6,1.5,5,206
26.1,6,1.0,4,212
24.5,4,1.5,6,193
21.6,3,0.5,10,180
24.2,1,1.0,8,209
24.3,4,1.5,4,197
25.1,4,0.3,5,193
26.5,2,1.5,8,202
23.9,7,0.3,8,215
18.2,2,1.5,8,187
22.9,2,0.3,4,187
25.5,2,0.5,9,192
22.2,7,0.5,7,228
24.9,5,0.3,7,190
21.3,2,0.3,8,175
29.4,6,1.0,8,210
25.6,5,0.3,4,194
24.6,1,1.5,9,187
27.0,5,1.0,7,206
27.1,4,0.5,4,207
24.4,7,1.0,9,193
28.0,3,1.0,3,213
26.6,4,0.5,5,190
24.9,2,1.0,3,201
24.0,4,1.0,9,199
19.6,5,1.5,5,191
24.8,5,0.3,6,186
24.7,5,1.0,8,192
20.7,7,1.5,7,215
29.4,3,0.5,9,202
24.0,7,0.3,7,233
19.7,6,0.5,7,182
22.3,1,0.3,7,233
23.8,3,1.0,3,207
23.9,3,1.5,7,198
20.9,1,0.5,4,248
24.1,5,0.3,4,200
18.2,7,1.5,10,178
22.3,7,1.5,4,248
25.7,2,0.5,7,192
21.3,4,1.5,5,197
26.6,7,1.0,5,241
27.2,6,1.0,5,199
21.6,4,1.0,10,195
14.4,5,0.3,4,166
27.5,4,1.5,5,211
29.4,6,0.5,5,198
17.6,6,0.3,5,177
24.8,7,1.5,7,216
25.3,6,1.5,5,202
17.5,5,1.5,3,194
21.9,4,0.3,8,171
29.0,3,0.3,3,214
24.9,2,1.5,7,196
24.1,1,0.3,3,252
28.7,7,0.5,4,248
21.7,3,0.3,6,180
16.9,6,0.5,3,177
29.5,5,0.3,6,200
21.0,1,0.3,10,196
24.1,3,1.5,8,191
28.7,5,1.0,10,227
25.2,5,1.0,6,193
24.8,1,0.3,7,237
21.7,7,1.5,10,170
26.5,5,0.5,3,205
32.9,4,1.5,8,237
21.8,5,1.0,9,182
19.7,2,0.5,4,180
25.4,6,0.3,8,198
21.2,3,0.5,10,187
24.7,4,1.5,8,210
24.3,3,1.0,6,195
26.2,5,1.5,8,206
25.0,6,0.5,3,210
25.4,7,1.0,8,198
29.3,5,0.3,8,207
20.3,4,0.3,4,190
24.4,1,0.3,8,203
25.5,7,1.0,10,171
19.3,4,0.3,8,164
20.4,6,1.0,8,185
22.9,4,0.3,6,179
22.1,6,0.5,6,178
28.7,3,0.5,6,196
24.7,5,0.3,10,203
35.9,4,1.5,10,232
22.7,4,1.0,3,196
23.0,2,1.5,4,203
33.2,6,0.5,4,210
22.0,2,1.0,3,203
33.0,1,1.0,10,165
11.8,4,0.3,9,156
21.6,3,1.5,9,189
29.8,6,0.3,9,208
30.6,4,0.3,4,207
26.1,3,1.5,5,206
21.6,1,0.3,8,222
23.7,1,1.0,9,191
27.3,6,0.3,6,195
25.5,4,0.5,10,207
28.0,4,1.5,6,200
21.4,6,1.5,5,194
27.6,7,1.0,3,246
29.4,3,1.0,7,209
36.6,5,0.3,9,230
27.2,1,0.5,3,249
27.1,5,1.0,10,220
20.9,2,0.3,6,171
18.9,4,1.0,10,188
15.1,1,0.3,8,226
26.1,6,0.3,9,192
32.4,1,1.5,7,220
23.9,3,1.0,3,204
14.3,1,0.3,7,225
25.0,5,0.5,8,191
23.4,6,0.5,7,182
22.8,4,0.3,3,203
31.3,7,0.3,5,239
29.2,4,0.3,10,210
30.3,7,1.5,3,255
21.1,5,0.5,7,180
25.8,3,0.5,4,201
19.9,6,0.3,9,176
28.9,2,1.0,10,237
19.8,3,0.3,7,174
29.4,2,0.5,9,217
25.3,3,1.5,9,213
25.2,7,0.5,3,253
18.5,3,1.0,3,187
27.2,2,1.5,6,209
17.0,7,0.3,6,243
19.3,2,0.5,10,183
20.6,3,1.0,9,177
32.6,3,1.0,7,220
24.7,5,1.0,3,200
21.6,5,1.0,5,186
26.4,3,1.0,6,203
33.8,4,0.3,9,225
23.7,2,1.0,8,185
20.1,5,1.5,6,188
19.8,3,0.5,7,181
24.1,7,1.5,6,224
31.0,4,1.0,4,213
23.7,7,0.5,10,184
23.3,7,1.5,5,238
20.3,6,0.3,8,176
19.7,7,0.3,8,221
28.4,7,0.5,6,237
25.7,4,1.5,7,200
25.9,6,0.3,4,194
18.7,7,0.5,9,207
26.5,1,0.5,5,242
25.5,7,1.5,6,229
30.3,5,1.0,5,202
28.5,4,0.3,5,194
23.3,3,0.5,5,192
25.6,5,1.5,3,209
25.5,3,0.3,9,196
23.8,7,1.0,4,246
20.7,6,1.5,5,178
27.8,5,0.5,5,196
33.3,7,0.5,4,253
23.8,3,0.3,6,183
30.8,4,1.0,9,234
22.9,6,1.0,4,189
22.8,7,1.5,3,238
24.1,5,1.0,10,197
23.0,5,0.5,9,188
28.1,7,0.3,9,201
28.9,7,0.3,3,252
13.9,6,0.3,8,155
27.5,7,0.5,9,189
25.8,6,1.5,9,207
31.2,2,1.5,3,219
20.6,2,0.5,10,182
24.7,2,0.5,9,204
29.1,1,0.3,10,183
27.8,7,0.3,6,245
30.4,4,0.3,4,201
21.1,7,0.3,9,206
21.5,5,1.5,7,176
26.6,7,0.3,9,203
18.7,1,0.3,7,224
26.0,4,0.5,3,197
28.0,5,1.0,10,227
25.6,1,1.5,10,164
18.8,7,1.0,9,197
21.9,1,1.5,8,200
22.9,2,1.0,4,202
25.9,7,0.3,3,254
25.2,3,0.5,10,209
22.4,7,0.5,10,178
17.4,6,1.0,7,165
16.8,1,0.5,9,204
20.1,5,1.5,7,177
20.0,3,1.0,4,191
21.6,6,0.5,4,191
19.8,6,0.3,6,176
23.5,1,1.0,6,235
21.6,3,1.5,3,199
24.8,1,0.3,5,243
24.0,4,0.3,5,186
26.4,2,1.5,10,216
20.2,6,1.0,7,175
20.5,3,0.3,4,176
19.6,5,1.5,5,185
24.4,4,0.5,7,196
26.9,3,1.0,5,209
28.6,3,0.5,9,207
24.7,2,0.5,8,188
23.5,2,1.0,6,185
27.0,7,1.5,7,206
23.8,1,1.0,3,255
20.0,7,0.3,6,240
27.0,3,1.0,6,200
22.3,1,0.3,8,217
18.1,2,0.5,7,169
23.3,6,1.0,4,195
20.7,3,1.5,10,205
23.8,3,0.3,5,189
21.1,1,0.5,4,245
22.7,5,0.3,10,184
21.6,3,1.5,9,195
23.5,7,0.3,9,196
26.3,6,1.0,6,202
25.0,5,0.5,10,199
24.0,1,0.5,10,187
28.1,5,1.0,3,202
18.6,4,0.5,4,174
24.7,7,1.5,6,228
28.7,6,0.3,6,195
26.2,7,0.3,9,204
28.5,1,0.3,5,245
20.3,1,1.5,3,248
28.6,1,1.5,5,239
21.2,1,0.3,5,247
28.5,3,0.3,3,205
25.0,3,1.0,9,200
27.4,1,0.3,10,175
20.9,2,0.3,4,188
23.1,5,0.5,4,196
16.6,6,1.5,10,188
25.5,3,0.5,3,204
27.0,6,1.0,3,203
25.5,1,1.5,7,211
28.6,3,1.0,6,206
26.5,3,0.5,10,206
24.7,7,1.0,3,248
26.4,4,1.5,4,203
22.0,6,0.5,4,190
27.9,7,1.5,7,218
25.3,6,1.0,9,195
25.5,1,0.3,10,184
23.7,6,0.3,7,178
21.9,1,1.0,3,236
20.4,7,0.3,9,205
23.1,6,0.3,6,180
27.1,3,0.3,10,207
17.2,4,0.5,7,164
24.7,1,0.3,7,231
38.4,3,1.0,9,248
25.2,6,0.3,9,194
23.7,4,1.5,6,195
25.9,5,0.3,8,192
23.9,2,0.5,4,189
24.9,7,1.0,5,245
25.1,6,0.5,10,194
20.5,4,1.5,4,193
29.3,4,0.5,8,204
25.4,2,1.5,10,224
29.0,3,0.3,3,209
25.2,4,0.3,7,189
28.8,1,0.3,9,183
24.8,5,0.5,7,192
36.7,5,1.0,8,235
29.2,1,0.5,5,247
29.9,1,1.5,7,212
24.4,1,0.3,8,216
18.5,3,1.0,10,193
23.4,6,0.5,8,184
26.7,7,1.5,5,237
25.2,2,1.0,7,199
22.4,4,1.5,3,205
21.7,6,1.5,5,193
19.7,1,1.0,8,204
22.8,5,0.3,10,188
27.1,7,1.5,4,248
27.2,1,1.5,4,238
27.1,3,1.0,10,231
