age,income,insurance,invested,em1_ps,em2_ps,em3_ps,em1,em2,em3,converted
44.1,5957.28,14380.1,15298.01,0.08389919695405612,0.08650761445202115,0.8843465092299101,0,0,1,0
48.7,1470.54,21325.36,990.43,0.33815364664244124,0.005600711241639619,0.9794431427157417,0,0,1,1
49.1,2518.17,12990.0,4660.26,0.19802861358215626,0.026352968479310453,0.9572385830268001,0,0,1,1
44.4,8452.119999999999,32156.73,13741.37,0.059163661115654236,0.07770508307960121,0.8314682757940988,0,0,1,1
47.9,6475.6,20603.28,19193.67,0.07719409152584186,0.10853690148452803,0.8733606961298916,0,0,1,1
38.2,4419.04,5174.1,5294.56,0.1130380398461066,0.02993982584487088,0.0,0,0,0,0
41.1,3092.58,15557.48,5467.33,0.1613657020930967,0.03091681046894131,0.9450639401367292,0,0,1,0
40.6,1021.18,10571.23,2129.94,0.4855117438274599,0.012044444233330868,0.9889673458617214,1,0,1,1
44.7,2873.22,69023.37,8511.71,0.17364266341104737,0.04813225556836562,0.9497132840972556,0,0,1,1
46.6,7744.33,4050.83,7648.45,0.06456392750888858,0.04325066879650106,0.8464699131109338,0,0,1,0
45.1,1933.48,4448.55,2918.05,0.2576049148949307,0.01650107068512312,0.9696311109274208,0,0,1,1
33.7,7692.73,16448.76,20421.84,0.06499643632841863,0.11548199152182956,0.0,0,0,0,0
41.6,703.52,21777.85,931.4,0.7016621818589528,0.005266906748041903,0.9957001622480307,1,0,1,1
47.6,3220.71,3919.57,1662.55,0.15496593628026037,0.00940143420008274,0.9423482196696329,0,0,1,1
38.0,977.9100000000001,67736.08,3448.16,0.5067769331214381,0.019498751527086286,0.0,0,0,0,1
43.0,2681.04,19662.22,4369.6,0.18604331410904335,0.024709336188795252,0.953786546872301,0,0,1,0
37.7,1079.78,471.94,1256.89,0.45940465047991336,0.007107496695884032,0.0,0,0,0,0
42.8,578.23,2202.16,652.37,0.85111266001394,0.003689040106527911,0.9983556888017067,0,0,1,1
43.8,1361.29,130638.04,4049.56,0.3650941813912447,0.022899565053253777,0.9817587008288321,0,0,1,1
43.7,18484.77,7058.06,82735.93,0.027069814871988132,0.4678574490256844,0.6188258583726236,0,1,1,1
40.5,16267.63,37776.46,39583.32,0.030756934516879914,0.22383686409480566,0.6658182292179984,0,1,1,0
43.1,4403.0599999999995,24515.62,8516.23,0.11344735852220456,0.04815781539067736,0.9172882642004119,1,0,1,1
35.2,5821.65,15187.8,4397.54,0.08585048828376189,0.02486733208158062,0.0,0,0,0,0
42.7,7226.17,13810.36,25196.84,0.06918715287230676,0.1424837949595578,0.8574523350045622,0,0,1,1
39.3,6547.87,5072.99,7411.32,0.07634338588596602,0.04190973944588567,0.0,0,0,0,0
43.4,1474.63,773.98,1538.65,0.3372220687982864,0.008700801017688076,0.9793564550024003,0,0,1,1
32.9,3133.12,12773.95,7020.27,0.15928440530428364,0.03969841897796449,0.0,1,0,0,0
41.4,12815.3,15238.12,30106.77,0.03903612391133151,0.17024860433191488,0.7389905014428524,0,0,0,1
48.1,1138.28,3241.61,3076.23,0.4359999303305814,0.01739555136947492,0.9864854066851276,0,0,1,1
38.4,4343.88,41082.46,7963.51,0.11498938877506959,0.04503227888887607,0.0,0,0,0,0
37.8,1169.04,44747.74,1211.84,0.4246251187406704,0.006852746696958448,0.0,0,0,0,0
39.4,8556.95,25500.3,23995.85,0.05843970141065372,0.1356924031458034,0.0,0,0,0,1
41.1,7937.65,6882.92,7455.19,0.06299346347662517,0.042157816747836065,0.8423724879903606,0,0,1,1
45.2,2475.71,2823.19,5208.85,0.2014112668010347,0.029455150541698588,0.9581385244225147,0,0,1,1
40.3,1224.52,113988.35,1055.45,0.4055422350387195,0.00596838815462833,0.9846575464409819,1,0,1,1
49.6,8600.060000000001,10340.29,13222.29,0.058147097697344725,0.07476977498987221,0.8283326815858553,0,1,1,1
39.2,831.89,31160.18,1780.31,0.594673888512751,0.010067346738894652,0.0,1,0,0,0
41.1,1229.71,177.56,2675.68,0.4038444474917521,0.015130510036075538,0.9845475441837102,1,0,1,1
37.4,6164.43,11042.59,9246.83,0.08108440779148844,0.052289232687348405,0.0,0,0,0,0
47.0,9020.22,8739.07,27903.87,0.05544161714775499,0.1577915838517114,0.8194273736060288,0,0,1,1
40.5,3052.74,46153.17,2374.66,0.16346474072235972,0.01342829372804937,0.9459083505278095,0,0,1,1
42.0,2014.86,3553.46,4054.1,0.24725166184328792,0.02292523797212441,0.9679062585773678,1,0,1,1
44.4,2431.41,7663.74,6408.04,0.2050659250187392,0.03623636366515185,0.9590774646917128,0,0,1,1
47.2,9480.03,44369.41,12005.08,0.05275536536765426,0.0678866618668487,0.8096816822927099,0,0,1,1
38.6,1051.65,20445.9,1101.1,0.4715772618094475,0.006226531050320956,0.0,0,0,0,0
40.2,3371.44,1565.1,7358.28,0.1480582237153402,0.04160980737167894,0.9391534912999661,0,0,1,1
44.2,2443.74,4727.49,3861.7,0.20403547238093686,0.021837249075492178,0.9588161298492927,0,0,1,0
39.2,1676.31,3924.42,4399.52,0.29689084450664466,0.024878528640911866,0.0,0,0,0,0
48.1,1870.38,10320.7,4929.53,0.26624937512630426,0.02787564400008052,0.97096851794743,0,0,0,1
40.8,2387.81,76421.37,2141.84,0.2087946918229551,0.012111736685877249,0.9600015684329554,1,0,1,1
38.4,3404.56,2768.57,4481.54,0.1466221123658685,0.025342337628966833,0.0,1,0,0,0
39.6,1310.0900000000001,63043.72,3094.54,0.3792544447727048,0.017499091269149225,0.0,0,0,0,0
47.3,1571.72,6335.58,4069.95,0.31652251978858453,0.023014866995053833,0.9772986285749409,0,0,1,1
43.5,14084.33,31232.99,22818.73,0.0355213763265086,0.12903599207509792,0.7120933599119135,0,0,1,1
41.3,1865.11,63945.79,6117.66,0.26699766947005776,0.03459431472646127,0.9710802158078967,1,0,1,1
48.4,11530.48,1340.0,47153.64,0.04338207769520852,0.2666457211839581,0.7662223126543927,0,0,1,1
42.7,2716.69,10606.06,2498.22,0.1836108981952477,0.01412700426894271,0.9530309436985557,0,0,1,0
37.0,6147.17,68474.11,2333.34,0.08131170651451884,0.013194636237358915,0.0,0,0,0,0
44.9,2528.99,25119.34,3234.82,0.1971847073048732,0.018292350533284204,0.9570092526946844,0,0,1,0
46.4,3110.37,987.23,6362.6,0.1604457163733788,0.03597940828332769,0.9446868803762544,0,0,1,1
44.0,1054.73,677.18,3756.83,0.47021310566998203,0.02124422726889227,0.9882562522718433,0,0,1,1
40.8,3982.63,44755.06,13475.96,0.1253935375930151,0.07620423519469911,0.9261992948410214,1,0,1,1
40.8,5428.6,365.42,7735.96,0.09205494060971572,0.043745522789974484,0.8955519029436732,0,0,1,0
42.2,8729.21,4876.61,5078.64,0.057287786882338335,0.028718835394970506,0.8255953421780236,0,0,1,1
39.8,1728.67,129804.33,828.24,0.2879499847584648,0.004683554697228071,0.0,1,0,0,0
43.1,3030.14,59611.34,5079.15,0.1646799160564974,0.02872171935722249,0.9463873584303801,0,0,1,1
42.8,1729.93,73000.01,5945.92,0.28774146086336805,0.033623154575174265,0.9739453613065471,0,0,1,1
40.2,11764.28,44706.89,32800.79,0.04252064669771739,0.18548282391250306,0.7612669123171796,0,0,1,1
42.2,1064.47,141416.57,4927.45,0.46595065474140734,0.027863881957954768,0.9880498125828594,1,0,1,0
47.6,16320.26,46679.55,96180.7,0.030657809489867276,0.5438853101367767,0.6647027342661271,0,0,1,0
41.1,2610.85,1092.19,3745.21,0.19102581223648815,0.02117851816817051,0.9552742267254617,0,0,1,1
45.8,10726.38,12048.33,15737.57,0.04663117363580648,0.08899325062355787,0.7832652442675365,0,0,0,0
38.7,8209.5,4334.45,13584.87,0.0609100310237849,0.07682010250619713,0.0,0,0,0,0
36.7,4542.219999999999,49225.29,5325.61,0.10997930679975924,0.030115408252565423,0.0,0,0,0,0
42.4,8960.47,35787.4,18512.46,0.05581089954038083,0.1046847761400642,0.8206937772422498,0,0,1,1
42.4,1085.49,60163.57,2164.26,0.4570101050671389,0.012238517928405808,0.9876042928433888,0,0,1,0
35.6,953.77,7993.45,863.09,0.5194704130653579,0.004880625451113899,0.0,1,0,0,0
43.3,2134.0699999999997,19709.9,4293.3,0.23350450311790197,0.024277872816586107,0.9653795978665073,1,0,1,1
40.9,2587.88,71852.29,8149.58,0.19271482901442713,0.04608447272461599,0.955761076792809,0,0,1,1
46.2,2588.91,117.61,9909.65,0.19263845227422266,0.05603736574590234,0.9557392459016741,0,0,1,1
52.3,4743.59,14561.86,7288.47,0.1053203999503533,0.04121504383283333,0.910070717250749,0,0,1,1
50.3,25389.51,24547.68,53664.7,0.019711010173030896,0.30346464522401145,0.47247961831972085,0,1,1,1
34.7,11021.84,27178.44,12459.49,0.04538227530493553,0.07045627223336977,0.0,0,0,0,0
38.1,2059.38,47660.71,5264.99,0.24193236621596803,0.029772612582535038,0.0,0,0,0,0
43.8,8432.54,59104.69,42201.7,0.05930087390761547,0.23864335248962845,0.8318832746760603,0,0,1,1
44.1,570.7,1308.47,1311.87,0.8621491303599104,0.007418399136304198,0.9985152874524305,1,0,1,0
37.6,2545.5299999999997,49480.71,2696.53,0.1959084808239387,0.015248413198730333,0.0,0,0,0,0
50.3,3991.63,9008.82,9587.51,0.12511151705679935,0.05421571947167621,0.9260085394815906,0,0,1,1
35.0,1275.67,45377.37,3154.5,0.3894078573817542,0.01783815475273586,0.0,1,0,0,0
37.2,1369.83,4447.92,1794.6,0.3628345520825029,0.010148154230229758,0.0,1,0,0,0
38.9,2551.21,38678.33,5809.37,0.19547401423545901,0.03285098781927441,0.0,0,0,0,0
31.6,7496.98,191809.68,8150.05,0.06669126599511388,0.04608713049375017,0.0,0,0,0,0
40.4,4732.0,28577.41,16179.64,0.10557781526781948,0.09149308041323673,0.910316367763616,0,0,1,1
42.3,3215.63,37937.99,8392.26,0.15520998998645225,0.04745678637032654,0.9424558904725117,0,0,1,0
42.5,959.28,39669.16,1914.13,0.5165174149884451,0.010824075814504452,0.9902793188338066,1,0,1,1
44.8,8258.5,693.56,7652.34,0.06054907177843623,0.0432726660772074,0.835572059426653,0,0,1,1
45.6,13149.22,13963.87,42148.09,0.03804556805038597,0.23834019716349303,0.7319130537071715,0,1,0,1
45.3,991.69,9428.71,1715.67,0.4998053289940001,0.009701818660525071,0.9895923875894563,0,0,1,1
43.8,2507.46,49182.08,4096.17,0.19887108434692108,0.023163136583773673,0.9574655819045227,0,0,1,1
42.1,1970.4,9526.55,2072.65,0.2528024641486568,0.01172047914035758,0.9688485900529559,0,0,1,0
34.1,2058.58,72436.72,3102.43,0.2420259308317783,0.01754370786163586,0.0,0,0,0,0
48.0,3747.34,12632.32,16786.72,0.1332458601031581,0.09492601336213224,0.9311862757877402,0,1,1,1
42.3,1873.49,63752.07,3635.06,0.2658097467998237,0.020555638870020612,0.9709026013732267,0,0,1,0
37.0,3949.62,8703.79,5677.71,0.12643890070259267,0.03210647317202597,0.0,0,0,0,0
44.7,4608.55,28519.4,13441.94,0.10839982245509953,0.0760118579480077,0.9129328954438083,0,0,1,1
41.5,1608.95,93379.7,1782.08,0.30924364557274775,0.010077355784357433,0.9765095372380955,1,0,1,1
36.0,7837.77,21425.64,30801.77,0.06379519277450792,0.17417870975374128,0.0,0,0,0,0
47.1,2685.17,44079.29,3130.67,0.18575822675378545,0.01770340020280475,0.9536990113573622,0,0,1,1
42.5,8156.11,39406.12,31339.78,0.06130826060388606,0.17722106373647054,0.8377422195657773,0,0,1,1
43.9,8777.07,9858.86,8610.88,0.05697576097607052,0.0486930448556786,0.8245809475666505,0,0,1,0
43.5,1100.0900000000001,28650.9,3643.16,0.45099946851156203,0.02060144297637571,0.9872948452603122,0,0,1,0
42.0,8017.72,8397.57,26776.76,0.06236515473882995,0.15141797072653906,0.8406754011426246,0,0,1,1
39.0,10953.24,15115.24,18353.96,0.045666244650304104,0.10378848591076997,0.0,0,0,0,0
39.5,3332.07,13103.7,11480.14,0.14980236799348906,0.06491821648536157,0.0,0,0,0,1
44.9,595.42,91509.59,754.71,0.8269465825377424,0.004267755198426782,0.9979913460651939,1,0,1,1
40.0,1950.12,18760.72,873.85,0.2554180356304716,0.004941471399802895,0.0,0,0,0,0
41.0,1030.25,476.47,3085.52,0.4812785388127854,0.01744808472108466,0.9887751068494951,1,0,1,1
37.8,5931.17,28374.19,7337.52,0.08426791355911377,0.041492413143539214,0.0,0,0,0,0
36.4,4646.81,15995.21,8383.24,0.10750921768334974,0.04740577982226197,0.0,0,0,0,0
34.4,958.87,87772.45,916.36,0.5167359914126766,0.00518185813574799,0.0,1,0,0,0
51.9,797.6700000000001,37204.74,2741.23,0.6198695011576509,0.01550118400787514,0.9937046492379854,1,0,1,0
43.8,4165.08,67991.31,8759.07,0.11991386991386992,0.04953103380885912,0.9223322598045606,1,0,0,1
44.5,1625.83,22766.3,2191.68,0.30605258492630655,0.012393573310659734,0.9761517649639632,0,0,1,1
43.8,3111.6,11856.19,2626.38,0.16038249615581754,0.014851727018383392,0.9446608104771321,0,1,1,1
43.8,1142.99,3389.86,1655.19,0.43421885705860414,0.009359814666406997,0.9863855780470254,0,0,1,1
42.2,3803.38,84617.08,4907.11,0.13128772899632346,0.027748862757551965,0.9299985057496845,0,0,0,1
38.8,2989.65,12177.35,3038.4,0.16690280532728818,0.017181629228312772,0.0,0,0,0,0
44.8,1170.88,2921.52,2207.38,0.42396348485874935,0.012482354109397397,0.9857944483831894,0,0,0,0
39.0,7378.65,2498.23,10226.55,0.06775933357243881,0.05782938072169628,0.0,0,0,0,0
27.6,618.76,33810.7,1052.0,0.7962497614352058,0.005948878998217824,0.0,1,0,0,0
43.8,616.4300000000001,7159.26,1880.81,0.7992114043069456,0.010635656947374587,0.9975460382761226,0,0,1,0
45.7,11934.86,61177.62,56688.53,0.04191342552361434,0.3205638836091645,0.7576514624047681,0,1,1,1
42.0,11155.73,5763.83,20734.39,0.04483808940391716,0.11724940799606243,0.7741651538706913,0,0,1,0
44.6,21133.25,3807.17,44942.53,0.02367895191136651,0.2541422745663256,0.5626912190009294,0,1,1,1
37.9,997.29,22374.63,2791.87,0.4970266755353473,0.015787544495013683,0.0,1,0,0,0
28.6,527.52,3324.4,680.32,0.9314072034528947,0.0038470925475927284,0.0,1,0,0,0
42.1,555.21,1869.62,1548.86,0.8857769678526565,0.00875853681100728,0.9988435986210508,1,0,1,1
47.0,13932.86,63518.21,36888.24,0.03590726723211737,0.2085966503965957,0.7153037726111335,0,1,1,1
34.1,10465.6,33859.62,18544.22,0.047792011913398755,0.10486437347559976,0.0,0,0,0,1
43.4,10665.44,45817.86,24372.15,0.04689736441776638,0.13782031490153474,0.7845568700012824,0,0,1,0
40.8,2725.71,24845.78,5612.82,0.18300550862481768,0.03173953138667012,0.9528397644383262,0,0,1,1
37.4,3409.27,13613.9,10436.55,0.14642014231107808,0.059016894590161816,0.0,0,0,0,1
40.1,1908.87,50.81,796.24,0.260908764012153,0.004502600202985704,0.9701527208602643,0,0,1,1
44.1,951.1600000000001,25253.94,4489.81,0.5208810187689874,0.025389103056072598,0.9904514225580929,0,0,1,1
43.4,4204.16,21957.15,5098.95,0.11880184900430928,0.028833684950534955,0.9215039576438322,0,0,1,1
42.5,608.67,156103.11,445.47,0.8092359416166939,0.002519056204692105,0.9977105117860319,1,0,1,1
40.9,1524.88,57611.23,3949.1,0.32618185134994265,0.022331481037891645,0.9782914042455785,0,0,1,1
39.9,3513.41,28040.34,14232.54,0.14209246156422328,0.08048256492138318,0.0,0,0,0,0
43.9,1572.12,2037.58,2312.08,0.3164424948802872,0.013074414595246641,0.9772901505589662,0,0,1,1
43.5,1809.13,15611.37,2828.64,0.2752139759115621,0.015995472518554054,0.9722667141435561,0,0,1,1
44.8,1091.56,7870.41,1759.18,0.4544918116126221,0.00994786022441524,0.9874756389509727,0,0,1,1
45.1,1387.42,275.38,4119.66,0.35826737845458057,0.023295968492203462,0.9812048744352847,1,0,1,0
41.6,3290.78,33188.34,11834.72,0.15167627045728585,0.0669233053781259,0.9408630832212646,0,0,1,0
42.4,2244.5,19842.59,8501.81,0.22206697715679752,0.04807627277170939,0.9630390296062916,0,0,1,1
37.8,3693.49,8166.48,4622.86,0.1351833000764144,0.026141477914164685,0.0,0,0,0,1
45.1,4468.46,28461.8,13777.83,0.1117906601822948,0.0779112581064786,0.9159021085885481,0,0,1,1
39.9,6013.44,63347.54,10768.76,0.08311695642357192,0.06089548498179485,0.0,1,0,0,0
41.4,2434.91,55594.5,4660.6,0.20477236380889277,0.02635489112081178,0.9590032820519342,0,0,1,0
45.1,2065.45,2226.91,4348.88,0.24122479462285287,0.024592168153773318,0.9668340015069674,0,0,1,1
44.4,14717.46,4474.15,46242.02,0.033994320812957564,0.26149066693266976,0.6986741442767563,0,0,0,0
50.6,5946.56,49997.12,8010.04,0.0840501900425749,0.045295398033160364,0.884573720058032,1,0,1,1
42.1,872.3,36579.93,3052.27,0.567437379576108,0.01726006169191095,0.9921228634075054,0,0,1,1
45.7,3140.43,17475.48,6957.9,0.15891481480305863,0.039345727359030226,0.9440497574757556,0,0,1,1
43.8,5761.7,6088.41,12388.43,0.08674220766845124,0.07005444015959282,0.8884918351407404,0,1,1,1
45.2,13275.48,109297.97,20003.83,0.03768399786834951,0.11311821689250919,0.729236967964757,0,0,1,1
42.9,5304.91,2100.23,6928.91,0.09419726768656478,0.03918179389690253,0.8981735174334502,0,0,1,0
46.6,2619.05,20566.82,4355.99,0.190430003233107,0.024632373980462793,0.9551004273979804,0,0,1,1
41.8,746.13,5444.97,632.72,0.6621215928477907,0.0035779227374072072,0.9947970415963256,1,0,1,1
43.3,2220.6800000000003,37819.62,3450.39,0.2244382878763426,0.0195113617934038,0.963543895457585,0,0,1,0
39.9,662.89,49876.36,941.71,0.7440294847597676,0.0053252080241556156,0.0,1,0,0,0
44.3,2648.04,9375.81,5075.16,0.1883530721885299,0.028699156593721645,0.9544859831902138,0,0,1,1
50.6,6340.04,4306.37,24893.52,0.07884202304237453,0.14076857254725797,0.8762338957437181,0,0,1,1
45.1,8577.27,11018.99,14595.44,0.0583014159331196,0.08253470198265053,0.8288157165460139,0,0,1,1
44.9,6048.56,3465.98,6354.55,0.08263514762583847,0.035933886918369844,0.8824118259844831,0,0,1,1
43.4,1323.33,15292.43,1772.46,0.37548843872109683,0.010022956339525822,0.9825632645448312,0,0,1,1
34.7,4572.389999999999,7706.14,2312.36,0.10925521398222326,0.013075997947071262,0.0,0,0,0,0
47.9,5590.6,59258.37,9258.62,0.08939220797771666,0.05235590310882083,0.892118306473919,0,0,1,1
41.1,707.89,9135.88,1440.69,0.697390965189653,0.008146854072188629,0.9956075399235071,1,0,1,1
49.6,7169.13,466.43,35609.13,0.06973686226604059,0.2013635034237721,0.8586613000825547,0,0,1,1
39.4,576.86,5280.9,642.69,0.8530995467402787,0.0036343013720195948,0.0,1,0,0,1
38.3,3435.43,114644.91,4742.3,0.14530842304153618,0.026816890563924323,0.0,0,0,0,1
42.7,2585.64,12366.89,3598.69,0.1928811391410211,0.020349972777658272,0.9558085536822674,0,0,1,1
45.1,2917.82,52339.92,4181.69,0.1709975340014072,0.023646737469636397,0.9487679853160763,0,0,1,1
44.0,6703.32,12172.05,5590.41,0.07457561981255176,0.03161280669242101,0.8685341616354941,0,0,0,0
37.7,7357.82,30557.2,17643.61,0.06795089999484244,0.09977157887998668,0.0,0,0,0,1
42.6,1841.35,8426.24,2881.21,0.2704242849812299,0.016292746823626594,0.9715838099567939,0,0,1,1
34.1,2834.25,1339.9,12472.35,0.1760217983651226,0.07052899332074343,0.0,0,0,0,0
40.1,2347.15,29034.64,5608.33,0.21239632607173917,0.03171414120919674,0.9608633587567837,0,0,1,0
41.9,8740.17,122596.06,6937.54,0.05721603123139322,0.03923059506206852,0.8253630445403167,0,0,1,1
40.1,6562.15,27104.39,9936.75,0.07617750659981894,0.05619061158321385,0.8715262654233656,0,0,1,1
34.2,535.83,37727.92,1472.86,0.9172269754319109,0.008328769887181658,0.0,1,0,0,0
43.5,2877.33,2875.58,4082.74,0.17339548995092352,0.023087192244471328,0.9496261724831155,0,0,1,1
43.9,5943.02,62473.18,14253.33,0.08410017100564082,0.08060012879436128,0.8846487504994082,0,0,1,0
36.5,1065.31,3021.36,2119.17,0.46558666803061444,0.011983541736362421,0.0,1,0,0,0
36.6,3383.85,55050.62,1108.85,0.14751683191655493,0.006270355966895279,0.0,0,0,0,1
47.2,629.38,23605.61,2707.14,0.7830241796740592,0.015308410923227567,0.9972715625089417,1,0,1,1
38.9,3374.82,28221.29,11782.35,0.1479103763272493,0.06662716203864238,0.0,0,0,0,0
42.4,1395.42,7755.9,3663.78,0.3562280314781346,0.020718045528603138,0.9810353141157907,1,0,1,1
44.9,7390.54,81392.44,11216.47,0.06765046874957772,0.06342720800108391,0.853968506290158,0,0,0,0
45.0,3054.13,23731.1,9374.59,0.16339058721398894,0.05301169350561106,0.9458788894222974,1,0,1,1
40.1,2305.0,9856.34,3527.2,0.2162634989200864,0.019945709127864933,0.9617567296901179,0,0,1,0
39.6,6194.87,1900.59,13990.05,0.08068662195984766,0.0791113256929822,0.0,0,0,0,0
37.7,1760.38,74134.89,2584.95,0.2827923948530824,0.014617447496618977,0.0,1,0,0,0
39.8,3073.45,9.74,3557.03,0.16236682936321328,0.02011439264546649,0.0,0,0,0,0
43.9,3849.41,15905.7,9682.24,0.12972190049774449,0.05475140132291306,0.9290228980613957,0,0,1,0
39.3,5845.55,21359.91,10456.23,0.08550008111962155,0.05912818160412087,0.0,0,0,0,1
45.5,554.26,13612.03,1625.04,0.8872682805798745,0.009189321603863015,0.9988637339089906,1,0,1,0
41.0,8573.58,10850.34,14293.14,0.05832647916137555,0.08082524749485466,0.8288939262433805,0,0,1,1
47.3,12486.98,9486.78,26149.56,0.040061678901622634,0.14787126263938868,0.7459492569548875,0,0,0,0
50.3,8219.880000000001,47343.56,13376.57,0.06083320777459695,0.0756422018452382,0.8363906118690104,0,0,0,0
48.5,771.31,44935.84,956.35,0.6407827878818907,0.0054079947052714985,0.9942633504907182,1,0,1,0
44.8,3912.6,74697.08,12483.54,0.12763218273594046,0.0705922708454488,0.9276835834877922,0,0,1,0
39.0,5056.49,9779.81,5281.24,0.09881594555599636,0.02986450353664249,0.0,0,0,0,1
41.8,1819.16,56733.43,8142.62,0.27370486999497035,0.04604511512211827,0.9720541278929905,1,0,1,1
38.7,4454.0599999999995,62855.92,13424.73,0.11215127036822982,0.07591453835907297,0.0,0,0,0,0
43.6,3551.88,2727.22,4010.41,0.14055779532157175,0.02267817853920413,0.9353290582937781,0,0,1,1
41.1,6855.5,5916.19,9607.7,0.07292258393416357,0.054329890447887254,0.8653087004579189,0,0,1,0
38.2,5892.37,7253.1,16393.07,0.08482185969364849,0.09269999034155386,0.0,0,0,0,1
47.8,1519.04,20802.77,6626.89,0.32742766703290954,0.03747392276093129,0.9784151832788092,1,0,1,1
36.4,1186.56,40486.26,2900.8,0.41840776893762116,0.016403524903070593,0.0,0,0,0,0
39.5,5160.21,5753.58,7623.34,0.09683359089862888,0.04310867606680026,0.0,0,0,0,0
44.6,670.98,3711.49,1786.1,0.7351904608064848,0.01010008819269663,0.9963898488475728,1,0,1,1
37.5,4206.18,57690.53,15259.91,0.11874493024491363,0.08629216550731383,0.0,0,0,0,0
48.4,2464.08,3901.39,2756.98,0.20235804824419582,0.015590247548010054,0.9583850227369791,0,0,1,0
43.6,3402.38,113.2,7426.6,0.14671578194691096,0.0419961452168864,0.9384977167643228,0,0,1,1
47.5,4232.15,2242.94,6357.13,0.11801798616267695,0.03594847637446814,0.9209107084760024,1,0,1,1
37.0,10902.27,16016.4,20002.69,0.045879546602127695,0.11311177038865179,0.0,0,1,0,0
47.4,3805.22,5.61,11180.55,0.13122441169840796,0.06322408658129686,0.9299595068762009,0,0,1,1
48.1,23809.63,9783.36,48709.46,0.021018378539045316,0.2754436155974631,0.5059652380149997,0,1,0,0
44.3,4147.52,8301.24,12217.23,0.12042034674517499,0.06908633361539615,0.92270444470585,0,0,1,1
35.5,12968.42,21434.61,35825.3,0.03857557391423609,0.20258590758065878,0.0,0,1,0,1
47.2,18299.61,20022.8,27177.12,0.027343564390503127,0.15368193764262889,0.6227503319673131,0,0,0,1
30.9,6656.09,43484.38,31595.83,0.07510399649569688,0.17866898243180673,0.0,0,1,0,0
47.5,13643.78,8802.55,56378.4,0.03666750160028944,0.3188101518185587,0.7214308347560504,0,1,0,0
40.8,1525.88,14447.92,2784.8,0.32596947678204025,0.015747564861442014,0.9782702092056417,0,0,1,1
42.0,2423.99,21364.78,3711.04,0.2056910669312528,0.02098529269728733,0.9592347318880436,0,0,1,0
48.0,4676.51,65145.56,11936.52,0.1068278953848386,0.06749896686293444,0.9114924805297064,0,0,0,0
