age,income,insurance,invested,em1,em2,em3,converted
44.9,12619.42,52034.95,22168.09,0,0,1,1
46.4,1376.3899999999999,15661.53,3430.13,0,0,1,1
44.0,5976.31,55752.28,10982.68,0,0,1,0
40.8,1009.1700000000001,3347.42,1555.69,0,0,1,0
40.8,8390.93,10215.84,33691.27,0,0,1,0
42.2,2424.1099999999997,155277.1,4103.7,0,0,1,0
39.8,1720.83,5855.85,872.39,0,0,0,0
43.1,2002.19,15950.08,2337.35,0,0,1,0
42.8,2604.89,4117.04,6032.11,0,0,1,0
40.2,3872.54,5771.29,13709.28,0,0,1,0
42.2,2197.44,4883.7,6059.02,0,0,1,0
47.6,10760.91,15764.34,17583.31,0,0,1,1
41.1,3488.49,45455.56,3347.14,0,1,1,0
45.8,2743.51,70044.7,7256.19,0,0,1,0
38.7,5092.82,38143.02,5292.78,0,0,0,0
36.7,1196.08,9187.87,2582.63,0,0,0,0
42.4,2939.98,22450.52,2573.17,1,0,1,0
42.4,1313.38,29039.58,4850.31,1,0,1,0
35.6,7837.86,14362.53,22219.49,0,0,0,0
43.3,1718.53,31728.92,8638.72,0,0,1,1
40.9,818.49,135448.8,3246.42,1,0,1,0
46.2,1597.15,15482.71,3545.97,0,0,1,1
52.3,3542.94,1642.23,9823.7,0,0,1,0
50.3,3613.71,5880.15,14225.54,0,0,1,0
34.7,1586.56,97867.94,658.06,1,0,0,1
38.1,2864.95,54417.31,9686.43,1,0,0,1
43.8,593.39,3530.89,1606.28,1,0,1,0
44.1,3768.92,5161.23,4540.58,0,0,1,0
37.6,2441.63,60736.45,10793.54,0,0,0,0
50.3,4822.86,61284.98,10843.19,0,0,1,0
35.0,6359.09,880.66,13824.43,0,0,0,0
37.2,2165.3599999999997,14395.68,1861.42,0,0,0,0
38.9,6002.64,45517.01,15599.9,0,1,0,1
31.6,1264.45,30176.29,1454.55,0,0,0,0
40.4,1302.6599999999999,24980.35,2402.4,0,0,1,0
42.3,1391.65,3933.05,1279.99,0,0,0,0
42.5,1253.6,30569.76,2882.39,0,0,1,0
44.8,4597.97,992.6,11682.39,0,0,1,0
45.6,1722.34,44872.58,2534.25,0,0,1,0
45.3,6991.9,18682.02,17516.34,0,0,1,0
43.8,12971.55,11855.63,21772.01,0,0,1,0
42.1,1234.24,30591.61,2011.29,0,1,1,0
34.1,2057.7799999999997,35300.4,1991.48,0,0,0,1
48.0,3099.46,30067.12,7364.51,1,0,1,0
42.3,5196.21,24387.36,8964.54,0,0,0,0
37.0,14655.92,80892.14,28231.79,0,0,0,0
44.7,5294.45,36222.44,16582.8,0,0,1,0
41.5,13705.09,8518.43,26341.75,0,0,1,0
36.0,3825.48,21095.99,17126.33,0,0,0,0
47.1,1363.8400000000001,160951.57,2130.77,0,0,1,0
42.5,12372.9,3703.08,22131.67,0,0,0,0
43.9,3291.09,105855.61,5907.4,0,0,1,0
43.5,1617.82,8426.31,4613.01,0,0,1,0
42.0,5243.86,22012.67,11697.84,0,0,0,0
39.0,2182.1,2775.47,3518.01,0,0,0,0
39.5,6871.65,67568.09,6025.54,0,0,0,0
44.9,3125.68,7548.95,8239.61,0,0,1,0
40.0,5799.19,102023.0,14193.18,0,0,0,0
41.0,5862.18,141849.71,8216.08,0,0,1,0
37.8,1038.12,17.66,424.79,1,0,0,1
36.4,1012.92,16918.94,2674.17,1,0,0,0
34.4,6592.9,50501.83,2798.83,0,0,0,0
51.9,5926.3,27784.29,11326.34,0,0,0,0
43.8,2037.32,5885.54,2923.42,0,0,1,0
44.5,3948.69,76924.46,7124.08,0,0,1,0
43.8,2595.16,47689.59,7262.53,0,0,1,1
43.8,2020.12,23489.13,3266.42,1,0,1,0
42.2,1772.85,68481.63,2533.96,0,0,1,1
38.8,4540.8099999999995,24042.28,13410.6,1,0,0,1
44.8,630.5699999999999,3835.32,1952.18,1,0,1,0
39.0,5779.37,12505.52,18345.18,0,0,0,1
27.6,768.6700000000001,23667.79,651.0,0,0,0,0
43.8,8658.42,131074.48,22274.99,0,0,0,0
45.7,2204.31,4213.51,6148.06,1,0,1,1
42.0,654.85,11086.62,1745.15,1,0,1,0
44.6,3307.12,26586.96,3288.46,0,0,1,1
37.9,3716.37,36218.77,2730.54,0,0,0,0
28.6,4164.17,101488.11,7403.55,0,0,0,0
42.1,3762.06,17019.82,9890.01,0,0,1,1
47.0,5633.43,4813.08,18804.57,0,0,0,0
34.1,9389.85,1760.01,9124.43,0,0,0,0
43.4,7478.84,33377.72,19203.5,0,0,0,0
40.8,4847.86,46433.69,7645.61,0,0,1,0
37.4,582.23,11163.54,1180.81,1,0,0,0
40.1,7526.13,64856.08,8010.08,0,0,1,0
44.1,10175.78,117140.87,20097.78,0,0,1,1
43.4,4971.48,4665.96,6321.59,0,0,0,1
42.5,9214.41,22831.8,25594.79,0,0,1,1
40.9,2309.45,11473.13,5492.2,1,0,1,0
39.9,6828.35,49515.89,6558.59,0,0,0,0
43.9,3236.52,38368.85,7287.84,0,1,1,0
43.5,4925.06,3775.6,6207.03,0,0,1,0
44.8,8522.61,12036.48,24697.42,0,1,0,0
45.1,9155.35,70848.89,26143.02,0,0,1,0
41.6,2183.76,13217.29,6375.38,0,0,1,0
42.4,13714.97,121001.62,12420.29,0,0,0,0
37.8,15110.78,23622.7,24426.92,0,0,0,0
45.1,2155.34,16327.85,2705.93,0,0,1,0
39.9,3505.65,9650.55,6439.16,0,0,0,0
41.4,542.56,52266.45,1590.18,1,0,1,0
45.1,3752.73,422.56,5345.89,0,0,1,0
44.4,1390.37,15834.68,2487.07,0,0,1,0
50.6,841.52,13587.75,1513.0,1,0,1,0
42.1,4327.96,10925.62,7991.71,1,0,1,0
45.7,1665.99,25157.18,3331.05,0,0,1,1
43.8,10349.44,31404.62,33567.49,0,0,1,0
45.2,990.99,1.56,2087.24,1,0,1,1
42.9,2295.81,6458.54,2848.45,0,0,1,0
46.6,3579.09,20984.87,10973.79,0,0,1,0
41.8,6263.95,126344.97,18412.55,0,0,1,0
43.3,3502.34,26077.12,8804.94,0,0,1,0
39.9,4949.22,14103.47,14321.98,0,0,0,0
44.3,5983.24,99824.53,4627.43,0,0,1,0
50.6,10186.57,12973.62,39989.67,0,0,1,0
45.1,1023.06,9204.68,938.73,0,1,1,1
44.9,7037.2,24367.58,10258.34,1,0,1,1
43.4,8030.57,28814.42,10629.19,0,0,1,1
34.7,3498.03,118536.28,3015.72,1,0,0,0
47.9,1273.96,4269.36,1698.3,0,0,1,0
41.1,1475.9,58069.27,2203.54,0,0,1,1
49.6,7769.01,447.52,16024.81,1,0,1,0
39.4,6256.6,97519.03,41621.96,0,0,0,0
38.3,698.84,72201.4,679.79,0,0,0,0
42.7,3426.72,23398.59,4797.95,0,0,1,0
45.1,505.33,4494.53,1390.37,1,0,1,0
44.0,6213.36,2517.18,19071.85,1,0,1,0
37.7,1763.54,3223.19,4058.64,0,0,0,0
42.6,7704.9,11162.02,19131.68,0,0,1,0
34.1,1131.3600000000001,38747.39,2228.07,0,0,0,0
40.1,13520.02,15065.52,21835.15,0,0,0,0
41.9,2787.03,31994.61,4816.82,0,0,1,0
40.1,1111.4299999999998,47202.66,1366.7,0,0,1,0
34.2,2850.68,4044.63,12834.16,0,0,0,0
43.5,5634.13,13719.46,11302.42,0,0,1,0
43.9,16411.15,49397.57,64397.6,0,0,0,0
36.5,4740.56,33770.7,10008.61,0,0,0,0
36.6,7579.13,9799.25,19881.95,0,1,0,0
47.2,2271.16,2920.91,3941.79,0,0,1,0
38.9,804.6600000000001,2826.43,1100.1,0,0,0,0
42.4,30528.58,22965.23,59932.27,0,0,0,0
44.9,7037.69,440.72,7846.12,0,0,1,0
45.0,4187.35,4991.21,4342.47,0,0,1,0
40.1,5445.57,41296.91,2743.99,0,0,1,0
39.6,1030.38,15624.75,475.47,1,0,0,0
37.7,4165.54,22330.37,9056.88,0,0,0,0
39.8,2063.92,1076.09,2321.98,0,0,0,0
43.9,2892.35,33772.7,5587.26,0,0,1,0
39.3,3846.77,42488.15,8226.77,0,0,0,0
45.5,18162.56,79198.5,42168.2,0,0,0,1
41.0,3244.41,221767.08,10089.08,0,0,1,0
47.3,3941.21,21009.94,14343.24,1,0,1,1
50.3,8558.65,36139.74,26532.06,0,0,1,0
48.5,2995.95,112151.17,9161.04,0,0,1,0
44.8,831.56,161.45,958.22,1,0,1,0
39.0,752.64,3808.47,825.63,1,0,0,0
41.8,4237.15,3548.17,9469.77,0,0,1,0
38.7,6967.87,76732.73,3639.27,0,0,0,0
43.6,795.37,113812.59,2546.0,0,0,1,0
41.1,859.3199999999999,63332.77,2956.55,0,0,1,0
38.2,2519.6,220.38,3591.98,0,0,0,0
47.8,3113.39,3035.11,5297.41,0,0,1,0
36.4,3186.69,8147.02,6623.06,0,0,0,0
39.5,2828.63,78055.34,8506.65,0,0,0,0
44.6,2110.41,14098.13,1993.59,0,0,0,1
37.5,4680.4,59790.76,3786.17,0,0,0,0
48.4,13513.02,37627.69,24747.89,0,0,1,0
43.6,1616.24,100784.89,5221.35,0,0,1,0
47.5,2262.6099999999997,31755.38,10251.7,0,0,1,0
37.0,4872.7,1910.14,5543.85,0,0,0,0
47.4,2385.71,15392.06,2384.39,0,0,1,0
48.1,2683.89,669.75,8027.07,0,0,0,0
44.3,10234.33,35598.93,9282.51,0,0,1,1
35.5,1256.19,27718.16,895.65,0,0,0,0
47.2,6431.83,62638.81,30748.18,0,0,1,1
30.9,1307.28,115939.89,2802.55,0,0,0,0
47.5,2143.2,3028.19,7204.06,0,0,1,0
40.8,1326.23,7517.53,2078.84,0,0,1,0
42.0,9365.72,30677.06,14787.19,0,0,1,0
48.0,3165.29,20929.06,10378.91,0,0,1,1
38.0,9263.55,29421.91,3573.39,0,1,0,0
49.8,1223.72,4081.94,3978.75,0,0,1,1
48.0,5524.72,30757.28,9432.01,0,0,1,0
42.2,4082.55,20868.76,3348.09,0,0,1,0
43.3,559.27,29838.11,1655.58,1,0,1,1
42.5,595.05,2429.82,2019.66,1,0,1,0
46.5,7241.37,228.03,27513.05,0,0,1,0
46.3,703.24,176637.95,1561.2,1,0,1,0
38.1,977.15,72148.62,674.0,1,0,0,0
43.7,13450.32,22878.21,20672.42,0,1,1,1
40.7,580.47,2561.38,2380.31,1,0,1,0
34.6,8562.85,9490.14,17714.02,0,0,0,1
38.8,6348.29,26940.31,8683.84,0,0,0,0
41.1,11876.03,17761.31,33633.31,0,0,1,0
38.3,4054.06,35885.1,10890.7,0,0,0,0
40.0,1018.72,38646.92,1817.94,0,0,0,0
42.2,3808.72,26147.85,21002.45,0,0,1,0
37.6,3439.01,50153.23,1522.98,0,0,0,0
46.7,2824.52,60290.51,11319.45,0,0,1,0
41.8,820.98,77.61,1879.53,1,0,1,0
43.5,3995.35,27312.92,543.84,0,0,1,0
41.5,5711.06,28624.41,16394.12,0,0,1,0
53.8,1640.34,36908.55,4288.87,1,0,1,0
41.9,11400.78,8897.71,22928.59,0,0,1,0
38.1,5900.7,903.48,6029.11,0,0,0,0
41.1,9254.89,11467.61,8682.03,0,0,1,0
39.1,5997.05,55962.2,16633.13,1,0,0,1
38.1,1960.94,31420.66,6963.13,1,0,0,0
41.3,1065.76,7155.58,1712.58,0,0,1,0
40.2,880.85,82339.14,2866.54,1,0,1,1
42.8,1844.18,328.06,1750.64,0,0,1,1
37.1,914.8199999999999,3162.5,1701.83,1,0,0,0
46.0,754.67,3618.69,1711.88,1,0,1,0
47.3,6706.15,19648.89,7950.01,0,1,1,1
40.7,5513.42,3578.46,6051.77,0,0,1,0
52.8,4560.37,1886.49,12505.2,0,0,1,0
44.5,1439.27,15674.21,3661.2,0,0,1,0
42.7,1933.19,10921.09,5036.29,0,0,0,0
38.9,8794.46,29097.24,13421.48,0,0,0,0
41.3,16246.21,20905.39,60778.09,0,0,1,0
47.4,5088.47,43466.89,9180.13,0,0,1,0
48.4,3138.1,35332.67,6788.47,0,0,1,0
43.6,8775.86,6955.75,8149.53,0,0,1,0
43.9,1952.78,186070.35,5146.42,0,0,1,0
39.9,1443.1,58281.68,1067.98,1,0,0,0
45.0,8130.07,1492.99,27103.87,0,1,1,0
36.8,506.31,7909.55,733.44,0,0,0,0
46.7,5964.76,907.85,21387.9,0,0,1,0
44.3,3966.66,4969.74,2057.81,0,0,1,0
38.3,2284.67,35709.6,1580.91,1,0,0,1
48.7,3393.26,10010.0,7411.48,0,0,1,0
44.4,3773.91,3111.57,7957.84,1,0,0,0
39.5,2123.5699999999997,25228.59,5775.03,0,0,0,0
49.6,6955.17,20492.74,18681.01,0,0,1,0
44.1,1023.1,10443.93,2522.03,1,0,1,0
48.2,4711.9,2797.01,21802.2,0,0,1,0
36.4,5812.5,112424.29,14271.91,0,0,0,0
45.7,3307.97,104585.34,9544.23,0,0,1,0
36.7,802.48,43901.69,875.0,0,0,0,0
42.7,6262.3,66723.07,8118.83,0,0,1,0
36.6,3389.81,4726.01,9658.35,0,0,0,0
44.9,608.1,2518.38,1733.14,1,0,1,0
36.6,9241.67,44702.36,17733.77,0,0,0,1
40.9,2075.25,52363.66,6764.2,0,0,1,0
45.9,6291.24,9236.02,5863.43,0,0,1,0
45.8,4283.12,2569.16,13331.3,0,0,1,1
37.9,11241.39,276.42,38237.83,0,1,0,1
47.0,14531.87,22352.43,30865.9,0,0,0,0
39.6,12388.95,14930.15,31087.96,0,0,0,0
41.5,7313.89,65854.79,13833.72,0,0,0,0
28.9,600.84,9764.37,523.13,1,0,0,0
45.3,1653.31,32581.67,3851.55,0,0,1,1
42.3,1595.15,11119.09,2327.18,0,0,1,1
48.3,9641.2,40157.96,9600.82,0,0,0,0
41.6,851.35,3148.4,2784.74,1,0,1,0
46.0,13397.98,5549.53,21730.38,0,0,1,1
42.4,6446.24,56.44,3144.42,1,0,1,0
44.7,719.85,44494.97,1764.82,1,0,1,0
43.7,3122.73,28291.56,3072.84,1,0,1,0
49.8,1540.29,5678.39,3639.48,0,0,1,0
39.2,1120.37,29933.22,4206.7,1,0,0,0
42.7,7738.74,51886.33,14391.19,0,0,0,0
41.9,4096.24,55361.12,1969.48,0,0,1,0
40.9,7556.14,199213.84,16555.74,0,0,1,0
38.0,4455.67,227.32,2722.04,0,0,0,0
39.2,20694.59,25155.78,95316.37,0,0,0,0
41.4,9547.5,1497.97,14754.96,0,0,1,0
46.1,2756.77,29482.9,1067.67,0,0,1,0
47.6,8029.09,95600.39,24141.42,0,0,1,0
38.9,747.52,23217.08,1373.67,1,0,0,0
34.4,588.46,23443.76,1364.16,1,0,0,1
44.0,3288.12,7225.44,5006.53,0,0,1,0
39.8,2736.61,83927.9,8566.4,0,0,0,0
41.9,8416.58,6238.6,19668.39,0,0,1,0
41.2,1603.04,100678.64,5523.82,0,0,1,0
40.0,9505.51,11585.25,26608.08,0,0,0,0
37.9,3479.39,14534.5,4487.89,0,0,0,0
52.1,617.6800000000001,248.34,1817.46,1,0,1,0
42.7,5273.92,1184.87,18801.98,0,0,1,1
41.8,1906.48,172625.67,2528.76,0,0,1,0
38.5,620.4300000000001,50748.44,2780.86,1,0,0,0
43.3,1943.92,40414.73,7922.72,0,1,0,0
40.5,7190.87,14989.71,27848.4,0,1,1,0
36.0,2171.9700000000003,12055.01,6231.4,0,0,0,0
36.9,3986.02,12816.74,2899.96,0,0,0,1
45.1,2354.98,153792.38,3143.22,0,0,1,0
46.0,2097.41,21617.34,4825.02,0,0,1,0
38.0,3931.13,18647.02,8108.36,0,0,0,0
40.4,1637.68,37386.74,1106.41,0,0,1,0
52.5,15017.82,6003.5,10856.31,0,0,0,0
44.6,1869.13,19349.4,1573.49,0,0,1,0
38.2,2053.56,153685.26,1642.58,0,0,0,0
40.2,2707.71,73108.88,5547.96,0,0,1,0
41.6,2768.82,17327.74,4006.95,1,0,1,0
39.9,6067.87,1777.73,8062.96,0,0,0,0
42.4,4416.29,2665.1,3558.92,0,0,1,0
39.6,6183.53,2179.07,6520.28,0,0,0,0
47.4,1028.83,5206.65,1784.95,1,0,1,1
38.5,2268.01,67262.96,1606.24,0,0,0,0
39.1,649.3,21557.07,1657.14,1,0,0,0
38.8,2235.7799999999997,8522.12,2895.26,0,0,0,0
41.5,1581.91,47171.71,5546.87,0,0,1,0
44.6,4593.76,10805.61,8574.51,0,0,1,0
50.0,2101.21,5171.44,5049.45,0,0,1,0
34.4,2601.03,253.84,4241.82,0,0,0,0
36.5,1152.53,31302.94,804.25,0,0,0,0
43.5,1874.24,30734.32,6948.61,0,0,1,0
39.7,6219.62,5247.62,3831.29,0,0,0,0
44.3,1442.8600000000001,3240.47,5761.43,1,0,1,1
47.9,5326.71,17583.96,12072.82,0,0,0,0
39.1,2952.39,22129.52,2548.31,0,0,0,0
36.3,5227.73,18410.89,5235.16,0,0,0,0
44.9,2026.88,45197.14,7097.43,0,0,1,1
38.5,958.6,7346.69,1399.47,1,0,0,0
50.2,690.02,33777.88,3255.21,1,0,1,1
40.5,5124.62,19172.89,12403.93,0,0,1,0
43.3,943.99,112489.74,1805.21,0,0,1,1
44.4,11388.93,890.37,28722.25,0,1,1,0
42.1,1558.6,66179.49,3483.82,1,0,1,0
43.5,4011.59,9458.38,9249.36,0,0,1,0
47.5,1349.1100000000001,409.76,2817.26,1,0,1,0
46.3,4340.3,17844.61,9550.66,0,0,1,0
41.6,12005.38,13741.76,23979.06,0,0,1,0
40.5,1004.52,118593.08,2734.29,0,0,1,0
40.0,3608.08,17805.3,4810.28,0,0,0,0
38.0,4027.46,38798.04,9243.97,0,0,0,0
37.6,7951.46,4488.58,17834.2,0,0,0,0
41.3,4486.139999999999,4279.13,5257.46,0,0,1,1
40.6,5667.11,27884.16,11310.87,0,1,1,0
36.3,10252.99,484.97,18066.73,0,0,0,0
41.5,4014.79,1784.96,7822.48,0,0,1,1
41.7,2144.62,1281.42,4181.76,0,0,1,0
38.6,1521.12,54059.38,8225.51,0,0,0,0
39.2,9261.88,52474.54,10729.53,0,0,0,0
48.0,1743.03,22696.28,3973.17,0,0,1,0
48.0,1004.6800000000001,6919.41,2292.5,0,0,1,0
38.3,6220.27,16125.06,16719.42,0,0,0,0
38.6,3692.0,35973.94,2817.41,1,0,0,0
44.5,8557.5,75026.08,17084.47,0,0,1,1
44.4,9803.62,81725.82,16883.61,0,0,1,1
41.1,1891.62,4347.97,2537.73,0,0,1,1
42.2,12991.73,10781.74,52452.94,0,1,1,1
39.9,5285.81,716.83,14696.8,0,0,0,1
42.4,665.27,15678.22,735.04,1,0,1,0
44.0,5649.9,18555.52,11858.13,0,0,1,1
45.0,641.86,2785.16,809.89,1,0,1,0
45.0,10935.03,22703.46,20591.9,0,0,0,0
42.0,2583.53,3959.17,5482.47,1,0,1,0
24.3,1328.8400000000001,72171.17,1270.35,1,0,0,0
44.7,1817.44,27098.13,5965.44,1,0,1,0
38.9,2115.0699999999997,126993.49,9072.34,0,0,0,1
42.4,8344.4,67402.18,16772.99,0,0,0,0
47.0,1488.9099999999999,587.62,3170.9,1,0,1,0
41.7,1162.8200000000002,9028.58,2482.46,0,0,1,0
44.6,14243.45,5713.28,38091.13,0,0,1,0
37.7,2513.06,17139.48,4931.24,0,0,0,0
41.3,3567.32,20518.9,4462.82,0,0,1,0
41.8,16604.72,18575.47,29620.27,0,0,1,0
47.4,7572.0,1707.96,8810.48,0,0,0,0
45.1,1309.45,10793.56,2510.32,1,0,1,1
46.4,8339.970000000001,53465.3,21199.27,0,0,1,0
37.8,2384.3,50723.31,6323.35,0,0,0,0
40.4,666.46,18218.55,839.7,1,0,1,0
45.8,6921.76,6525.4,10008.53,0,0,1,1
40.1,9989.33,3234.53,13912.63,1,1,1,0
42.1,2473.12,81271.19,7331.16,0,0,1,1
44.1,7401.74,778.0,6341.89,0,0,1,0
46.4,4075.83,17494.83,13625.82,0,1,1,0
44.4,3104.15,7540.0,3193.01,0,0,1,1
48.6,3453.19,6368.0,17374.74,1,0,1,0
39.8,4461.33,29466.12,7365.01,0,0,0,0
37.1,1333.17,59840.51,1872.54,0,0,0,0
43.1,686.47,111965.06,2198.41,1,0,1,0
50.3,3617.82,104.18,6494.03,0,0,1,0
48.1,895.4100000000001,147620.68,2628.8,1,0,1,1
42.6,12500.13,60721.96,19942.83,1,0,1,0
39.8,6561.79,712.99,23128.07,0,0,0,1
40.4,973.12,43327.03,1192.13,0,0,1,1
46.6,9439.87,16240.63,10287.34,0,0,0,0
44.8,1609.53,14127.33,3071.64,0,0,1,1
40.9,1201.37,12507.67,781.32,1,0,1,1
38.4,632.6800000000001,61821.21,555.71,1,0,0,0
43.1,9753.09,7123.16,31247.22,0,0,1,0
41.2,2554.65,5597.11,4287.06,0,0,1,0
45.2,3869.84,2400.07,9880.8,0,0,1,0
44.4,1270.55,14838.87,2872.31,1,0,1,0
38.9,2374.08,573.23,5268.97,0,0,0,0
39.5,12546.24,16160.62,68669.18,0,0,0,1
46.2,7172.61,3092.62,4786.73,0,0,1,0
46.2,7106.06,37026.94,8727.06,0,0,0,0
47.4,1958.67,2288.21,5938.89,0,1,1,1
39.8,527.77,11754.84,1362.07,1,0,0,1
38.5,3342.23,34255.48,10576.47,0,0,0,0
38.4,2113.65,56472.34,3923.27,0,0,0,0
46.0,13614.9,13836.47,32079.62,0,0,1,0
37.0,3262.01,1671.44,7806.37,0,0,0,0
36.6,4460.54,28541.0,2771.64,0,0,0,0
41.6,12597.12,49847.36,59091.36,0,1,1,0
44.3,11013.39,5145.68,19874.5,0,0,1,0
38.1,543.41,8084.51,522.8,1,0,0,1
36.9,2671.15,17540.05,8283.09,0,0,0,0
48.3,7004.06,7819.57,22531.77,0,0,1,0
41.5,1563.14,3698.1,3479.09,1,0,1,1
45.6,568.0699999999999,15830.25,827.66,1,0,1,0
44.8,6511.57,77370.86,8709.41,0,1,1,0
42.3,7130.83,8381.14,18277.26,0,0,1,0
41.9,3281.38,869.93,11585.63,0,0,1,0
42.3,3356.2,25615.62,5292.94,0,0,1,0
45.5,5817.11,929.22,22276.9,0,0,1,0
35.8,3950.95,7591.92,1224.6,0,0,0,0
47.4,1382.2,43702.14,2541.54,1,0,0,0
37.0,1973.38,2387.58,3769.39,0,0,0,1
31.0,893.98,10028.47,2145.63,0,0,0,0
40.3,1619.76,3614.08,1964.64,0,0,1,0
46.0,3215.55,1531.88,10697.5,0,0,1,0
35.1,1386.1599999999999,20061.25,1126.18,1,0,0,0
40.6,7488.42,65060.87,47539.19,0,1,1,0
40.2,3718.98,1338.99,21411.03,0,1,1,1
43.8,2436.95,29016.34,1402.22,1,0,1,1
43.5,2868.28,56365.94,9301.78,0,0,1,0
48.5,14050.76,24970.54,24752.87,1,0,1,0
45.8,7853.27,47936.17,27221.47,0,1,1,0
38.7,2377.42,24384.32,2596.69,0,0,0,0
48.7,1055.5900000000001,1150.56,2371.0,0,0,1,1
38.5,5762.73,68264.55,9575.7,0,0,0,0
43.5,3781.64,44564.89,10512.64,0,0,0,0
44.2,904.5799999999999,4076.17,2007.29,1,0,1,1
39.9,542.18,26699.74,1335.05,1,0,0,0
43.3,1944.12,382.21,4265.84,0,0,1,0
45.4,547.7,20262.8,1023.16,1,0,1,0
