year,school_id,number_of_students,avg_score
2005,12007617,289,39.34
2006,12009369,38,37.16
2007,12009369,65,43.49
2005,12009369,48,45.9
2005,12010731,45,37.05
2006,12010731,83,36.52
2007,12010731,52,44.69
2006,12010936,373,53.82
2005,12010936,248,54.87
2007,12010936,261,64.65
2006,12011410,26,42.95
2007,12011410,24,59.21
2005,12011410,47,49.93
2006,12011444,684,39.89
2005,12011444,788,39.65
2007,12011444,640,48.48
2006,12011517,155,35.05
2007,12011517,192,46.34
2005,12011517,211,38.76
2006,12012017,215,33.2
2007,12012017,149,45.01
2005,12012017,295,38.04
2007,12012181,287,53.96
2006,12012181,281,44.24
2005,12012181,289,45.53
2007,12012556,312,49.54
2005,12012556,479,39.2
2006,12012556,425,35.46
2007,12012564,121,48.1
2005,12012564,127,34.06
2006,12012564,132,34.12
2005,12012580,247,38.5
2007,12012580,266,47.13
2006,12012580,163,37.93
2005,12012750,80,39.43
2006,12012750,89,30.99
2007,12012750,68,51.25
2006,12014370,44,50.93
2005,12014370,69,50.78
2007,12014370,57,61.7
2006,12015334,42,37.35
2007,12015334,34,46.4
2005,12015334,40,35.25
2005,12016284,269,38.0
2007,12016284,250,46.86
2006,12016284,243,40.06
2005,12017540,109,37.93
2007,12017540,107,50.78
2006,12017540,88,34.98
2007,12020249,391,50.29
2005,12020249,521,43.42
2006,12020249,461,41.74
2006,12021768,79,35.19
2007,12021768,86,45.71
2005,12021768,82,34.82
2006,12027758,407,37.33
2005,12027758,402,41.04
2007,12027758,408,48.46
2007,12028835,59,68.44
2006,12028835,59,53.08
2005,12028835,50,62.06
2006,12028860,489,35.82
2007,12028860,335,46.86
2005,12028860,242,39.17
2005,13000136,122,40.12
2006,13000136,117,37.13
2007,13000136,77,44.27
2006,13000837,135,33.15
2005,13000837,130,40.32
2007,13000837,54,39.92
2005,13001337,58,35.56
2007,13001337,69,39.56
2006,13001337,57,36.43
2006,13001396,79,39.38
2005,13001396,88,39.65
2007,13001396,76,44.61
2005,13005081,330,36.64
2006,13005081,356,30.44
2007,13005081,356,39.68
2006,13006614,217,23.22
2007,13006614,167,42.69
2005,13006614,138,36.78
2005,13007203,130,39.09
2006,13007203,128,39.96
2007,13007203,121,44.64
2006,13007572,180,39.02
2005,13007572,154,38.91
2007,13007572,129,45.86
2007,13007874,261,45.27
2006,13007874,163,43.68
2005,13007874,151,43.33
2005,13008196,37,16.01
2006,13008196,133,18.44
2007,13008196,145,21.79
2007,13008200,125,48.04
2005,13008200,88,40.96
2006,13008200,136,41.03
2005,13012533,135,34.04
2006,13012533,102,34.13
2007,13012533,133,45.38
2006,13013076,243,41.8
2005,13013076,218,37.74
2007,13013076,216,48.47
2006,13013246,220,42.84
2005,13013246,184,41.27
2007,13013246,226,50.23
2005,13014803,73,33.49
2006,13014803,51,36.88
2007,13014803,52,40.97
2006,13015370,106,34.44
2005,13015370,85,33.17
2007,13015370,148,41.59
2006,13016776,127,34.61
2007,13016776,163,42.05
2005,13016776,140,31.82
2006,13016792,282,37.91
2005,13016792,352,38.04
2007,13016792,259,44.93
2006,13018221,117,34.4
2005,13018221,87,32.69
2007,13018221,119,38.89
2005,13018302,126,34.16
2007,13018302,147,42.1
2006,13018302,137,35.6
2007,13018396,104,45.03
2005,13018396,159,32.83
2006,13018396,93,38.04
2005,13021630,220,39.91
2007,13021630,205,41.42
2006,13021630,220,38.12
2006,13021648,100,30.95
2005,13021648,81,38.72
2007,13021648,155,42.27
2006,13022652,148,35.89
2005,13022652,154,36.23
2007,13022652,183,39.54
2005,13022695,163,40.95
2007,13022695,171,46.69
2006,13022695,136,39.62
2007,13022725,449,44.72
2005,13022725,304,41.04
2006,13022725,335,37.49
2005,13024230,178,39.11
2007,13024230,231,43.29
2006,13024230,189,35.99
2006,13025473,49,51.69
2005,13025473,32,55.95
2007,13025473,35,57.85
2007,13025724,68,60.56
2006,13025724,53,48.74
2005,13025724,74,56.34
2005,13025767,221,42.93
2006,13025767,234,37.24
2007,13025767,248,46.88
2005,13025872,168,66.42
2006,13025872,150,60.5
2007,13025872,116,73.26
2007,13026089,54,50.36
2005,13026089,64,50.96
2006,13026089,79,46.36
2006,13026194,221,57.23
2005,13026194,173,60.77
2007,13026194,589,67.44
2005,13026470,408,43.28
2007,13026470,541,51.77
2006,13026470,499,42.93
2007,13026496,99,59.76
2006,13026496,86,53.95
2005,13026496,111,57.9
2007,13026500,51,52.82
2006,13026500,53,54.96
2005,13026500,49,51.52
2007,13026518,35,51.21
2005,13026518,60,53.34
2006,13026518,50,44.56
2005,13026550,643,42.64
2007,13026550,451,49.08
2006,13026550,513,42.13
2005,13026577,162,48.66
2007,13026577,119,55.95
2006,13026577,134,46.13
2007,13026585,237,58.97
2005,13026585,287,54.5
2006,13026585,248,48.77
2006,13027042,151,37.1
2007,13027042,29,48.74
2005,13027042,22,39.9
2006,13027077,126,36.09
2005,13027077,143,38.47
2007,13027077,79,44.7
2005,13027123,120,29.42
2007,13027123,126,40.3
2006,13027123,226,34.48
2006,13027131,294,41.26
2005,13027131,258,44.32
2007,13027131,359,47.92
2006,13027158,263,40.19
2007,13027158,275,45.18
2005,13027158,278,39.28
2005,13027255,174,37.89
2006,13027255,212,36.9
2007,13027255,119,46.34
2006,13027310,179,39.55
2007,13027310,183,45.97
2005,13027310,177,41.65
2006,13027328,337,38.86
2005,13027328,353,39.43
2007,13027328,331,43.85
2005,13027336,75,36.86
2006,13027336,41,41.6
2007,13027336,48,42.61
2005,13027344,186,42.09
2006,13027344,132,39.54
2007,13027344,125,46.7
2005,13027484,141,37.2
2006,13027484,89,39.71
2007,13027484,85,47.38
2006,13027522,73,38.46
2007,13027522,79,43.45
2005,13027522,62,34.42
2007,13027549,76,43.61
2006,13027549,89,36.45
2005,13027549,97,39.53
2006,13027573,333,40.37
2005,13027573,447,43.81
2007,13027573,434,46.47
2006,13027590,141,35.61
2007,13027590,111,45.75
2005,13027590,154,40.06
2005,13027620,279,40.94
2006,13027620,302,34.23
2007,13027620,364,47.2
2005,13027638,279,39.7
2006,13027638,276,40.15
2007,13027638,294,48.85
2006,13027646,258,37.82
2007,13027646,241,47.65
2005,13027646,233,38.46
2007,13027727,213,45.49
2005,13027727,172,42.22
2006,13027727,218,35.99
2005,13027786,587,43.81
2007,13027786,539,49.24
2006,13027786,554,40.26
2005,13027816,227,40.81
2006,13027816,129,41.08
2007,13027816,79,48.92
2005,13027905,192,40.61
2007,13027905,141,47.53
2006,13027905,166,36.82
2007,13027930,202,46.99
2005,13027930,223,42.95
2006,13027930,250,38.42
2007,13027956,304,54.56
2005,13027956,456,36.11
2006,13027956,358,34.4
2005,13027972,330,46.25
2007,13027972,225,55.38
2006,13027972,305,46.37
2006,13028006,712,39.1
2005,13028006,879,44.59
2007,13028006,626,49.7
2005,13028057,442,37.44
2007,13028057,340,40.71
2006,13028057,560,37.11
2005,13028073,135,35.55
2007,13028073,119,42.51
2006,13028073,168,34.61
2006,13029975,818,34.63
2007,13029975,544,45.68
2005,13029975,659,37.6
2005,13029991,98,34.62
2007,13029991,81,42.4
2006,13029991,121,35.54
2005,13030000,39,42.9
2006,13030000,71,37.02
2007,13030000,36,47.92
2006,13030019,135,41.38
2005,13030019,117,44.55
2007,13030019,200,47.94
2007,13030027,418,47.37
2006,13030027,376,38.99
2005,13030027,513,39.72
2006,13030132,134,33.73
2007,13030132,111,41.27
2005,13030132,116,37.24
2005,13030159,79,36.77
2007,13030159,78,45.53
2006,13030159,81,35.47
2007,13030167,217,43.89
2005,13030167,277,32.63
2006,13030167,246,30.83
2005,13030205,139,39.0
2006,13030205,131,35.26
2007,13030205,70,38.44
2006,13030221,135,37.01
2007,13030221,111,46.3
2005,13030221,91,39.37
2006,13030230,136,31.73
2007,13030230,78,41.81
2005,13030230,123,31.45
2005,13030272,144,42.94
2006,13030272,129,36.12
2007,13030272,150,49.89
2005,13030302,95,41.85
2006,13030302,267,32.94
2007,13030302,193,44.44
2006,13030310,121,43.29
2005,13030310,124,45.19
2007,13030310,100,49.03
2006,13030329,150,39.08
2005,13030329,133,38.47
2007,13030329,244,40.6
2005,13030353,97,37.38
2007,13030353,97,44.56
2006,13030353,89,38.21
2005,13030396,37,41.46
2006,13030396,37,37.45
2007,13030396,40,41.95
2007,13030400,128,44.06
2006,13030400,124,34.29
2005,13030400,132,37.86
2006,13030426,405,35.03
2005,13030426,433,37.52
2007,13030426,422,44.6
2005,13030442,174,35.88
2006,13030442,139,30.91
2007,13030442,150,43.15
2006,13030450,142,38.54
2007,13030450,96,47.95
2005,13030450,133,35.19
2006,13030469,768,35.74
2005,13030469,954,39.18
2007,13030469,792,44.54
2005,13030493,42,34.05
2006,13030493,71,38.08
2007,13030493,67,41.17
2005,13030558,126,40.35
2006,13030558,135,35.89
2007,13030558,177,42.72
2005,13030574,110,41.47
2006,13030574,106,34.51
2007,13030574,105,46.8
2005,13030590,116,37.88
2006,13030590,145,37.0
2007,13030590,111,44.78
2006,13030604,93,30.79
2005,13030604,90,37.49
2007,13030604,136,43.5
2005,13030663,114,40.75
2006,13030663,81,33.58
2007,13030663,106,44.37
2005,13030710,132,32.85
2007,13030710,118,44.15
2006,13030710,116,34.87
2006,13030728,357,38.66
2005,13030728,391,37.19
2007,13030728,390,40.76
2006,13030736,296,36.02
2007,13030736,171,44.89
2005,13030736,398,37.79
2006,13030795,92,36.1
2007,13030795,66,44.16
2005,13030795,312,37.2
2005,13030809,164,34.21
2006,13030809,167,24.06
2007,13030809,139,41.49
2006,13030884,234,32.37
2005,13030884,155,36.69
2007,13030884,122,47.77
2007,13030892,83,46.92
2006,13030892,83,36.36
2005,13030892,84,42.9
2007,13030914,506,52.48
2006,13030914,535,43.29
2005,13030914,404,44.83
2005,13030949,247,41.68
2006,13030949,456,31.66
2007,13030949,272,38.74
2006,13031007,130,39.56
2005,13031007,152,39.65
2007,13031007,139,47.67
2005,13031040,84,37.8
2006,13031040,125,33.53
2007,13031040,103,42.48
2005,13031058,372,40.4
2006,13031058,451,36.5
2007,13031058,352,46.54
2006,13031066,307,38.27
2005,13031066,321,42.17
2007,13031066,461,46.57
2005,13031074,173,42.88
2007,13031074,152,48.93
2006,13031074,149,39.94
2005,13031082,144,33.97
2006,13031082,522,32.0
2007,13031082,118,42.48
2006,13031104,171,27.84
2007,13031104,119,42.41
2005,13031104,228,31.18
2007,13031112,198,48.75
2006,13031112,276,36.85
2005,13031112,265,41.07
2006,13031120,282,40.36
2005,13031120,309,40.96
2007,13031120,214,48.44
2005,13031147,389,41.56
2006,13031147,236,39.67
2007,13031147,173,45.32
2007,13031163,443,44.2
2005,13031163,389,36.57
2006,13031163,297,37.31
2005,13031198,217,39.9
2006,13031198,303,39.79
2007,13031198,294,48.36
2005,13031899,1375,43.04
2006,13031899,1131,43.19
2007,13031899,1125,49.6
2006,13032151,13,51.86
2007,13032151,14,60.43
2005,13032151,20,51.22
2007,13032461,222,45.94
2005,13032461,242,39.34
2006,13032461,185,36.73
2005,13032879,47,43.81
2007,13032879,24,52.29
2006,13032879,43,43.71
2006,13033620,310,40.11
2005,13033620,364,41.97
2007,13033620,354,48.5
2005,13035240,111,37.3
2007,13035240,169,44.33
2006,13035240,151,33.16
2005,13035770,129,41.17
2006,13035770,100,33.72
2007,13035770,118,43.76
2005,13037013,96,32.88
2006,13037013,100,42.37
2007,13037013,99,44.47
2005,13037455,135,36.63
2006,13037455,131,35.96
2007,13037455,108,43.88
2005,13038010,195,37.38
2007,13038010,186,43.09
2006,13038010,177,34.23
2005,13039733,320,41.76
2006,13039733,277,37.73
2007,13039733,192,47.17
2006,13040901,172,40.36
2007,13040901,134,48.65
2005,13040901,66,42.32
2007,13040910,113,41.52
2005,13040910,104,38.55
2006,13040910,100,34.49
2005,13041150,188,35.25
2006,13041150,208,34.2
2007,13041150,205,44.8
2007,13042076,340,42.22
2005,13042076,305,37.42
2006,13042076,306,33.23
2005,13042149,320,45.2
2007,13042149,355,49.76
2006,13042149,332,44.36
2005,13043765,150,47.3
2007,13043765,142,53.19
2006,13043765,114,46.52
2005,13043897,198,33.19
2006,13043897,484,29.24
2007,13043897,141,37.76
2005,13044281,110,31.26
2007,13044281,89,42.96
2006,13044281,92,37.33
2006,13044397,94,29.43
2005,13044397,90,31.67
2007,13044397,79,39.35
2005,13046896,307,36.63
2007,13046896,288,44.03
2006,13046896,298,37.52
2005,13048830,84,41.14
2006,13048830,101,38.18
2007,13048830,88,46.71
2006,13048856,148,33.37
2005,13048856,92,31.2
2007,13048856,86,37.53
2005,13050141,147,37.12
2007,13050141,116,42.29
2006,13050141,97,37.53
2005,13050168,90,45.48
2006,13050168,74,43.56
2007,13050168,87,45.43
2005,13051199,181,39.71
2006,13051199,166,38.83
2007,13051199,218,44.25
2005,13051407,194,34.95
2007,13051407,226,45.4
2006,13051407,198,34.28
2005,13055216,291,42.5
2006,13055216,227,39.35
2007,13055216,248,47.96
2005,13059203,81,40.16
2006,13059203,98,34.71
2007,13059203,129,41.9
2005,13059262,166,34.53
2006,13059262,121,36.51
2007,13059262,152,45.12
2006,13059360,149,33.35
2007,13059360,175,42.91
2005,13059360,139,37.07
2006,13059440,305,37.5
2007,13059440,239,45.9
2005,13059440,302,37.98
2005,13059467,141,35.09
2007,13059467,174,48.43
2006,13059467,138,39.83
2005,13059530,120,33.24
2007,13059530,93,46.97
2006,13059530,105,35.05
2005,13059548,128,36.98
2006,13059548,141,35.12
2007,13059548,317,42.56
2005,13059599,334,37.88
2006,13059599,317,36.14
2007,13059599,371,46.35
2006,13063456,53,39.68
2007,13063456,64,47.66
2005,13063456,45,41.2
2005,13064207,63,53.26
2007,13064207,13,60.14
2006,13064207,36,50.61
2005,13072102,73,35.43
2006,13072102,82,36.27
2007,13072102,51,49.08
2005,13074369,203,41.23
2006,13074369,245,33.8
2007,13074369,266,45.82
2005,13075098,230,40.49
2007,13075098,91,40.81
2006,13075098,90,34.83
2005,13075390,677,43.59
2006,13075390,504,40.39
2007,13075390,366,49.45
2007,13078054,196,45.58
2005,13078054,153,36.51
2006,13078054,188,36.03
2006,13078615,310,37.96
2005,13078615,286,37.01
2007,13078615,224,44.96
2006,13079638,234,39.69
2005,13079638,274,38.79
2007,13079638,222,48.13
2005,13080539,283,39.97
2006,13080539,292,35.89
2007,13080539,230,44.63
2005,13080547,242,40.12
2006,13080547,255,36.61
2007,13080547,196,46.7
2005,13080563,337,46.24
2006,13080563,126,45.86
2007,13080563,202,51.34
2006,13080571,214,37.71
2007,13080571,308,47.47
2005,13080571,165,40.33
2005,13080580,465,40.75
2007,13080580,470,46.56
2006,13080580,490,31.13
2005,13080598,424,45.03
2006,13080598,459,42.23
2007,13080598,378,49.9
2005,13082183,146,40.19
2006,13082183,283,40.55
2007,13082183,11,44.1
2005,13082701,58,30.66
2006,13082701,47,36.19
2007,13082701,82,41.19
2007,13083295,79,49.24
2006,13083295,275,39.88
2005,13083295,243,36.97
2006,13083694,252,33.82
2005,13083694,270,38.49
2007,13083694,78,47.5
2005,13083724,68,37.97
2006,13083724,47,42.78
2007,13083724,77,45.04
2005,13084410,141,38.19
2006,13084410,160,39.59
2007,13084410,235,45.15
2005,13084445,129,42.31
2006,13084445,95,32.63
2007,13084445,83,45.37
2006,13084860,176,38.98
2005,13084860,675,37.26
2007,13084860,143,47.76
2005,13087835,187,43.11
2007,13087835,191,46.69
2006,13087835,193,39.29
2005,13087843,130,41.27
2007,13087843,168,46.67
2006,13087843,169,38.3
2005,14000482,178,45.06
2006,14000482,216,40.65
2007,14000482,161,51.09
2005,14000490,464,43.56
2006,14000490,390,41.18
2007,14000490,382,49.46
2005,14000520,135,40.62
2006,14000520,156,35.79
2007,14000520,159,48.01
2005,14000555,99,42.63
2006,14000555,133,34.42
2007,14000555,146,48.04
2005,14000997,14,36.53
2006,14000997,38,31.77
2007,14000997,41,41.75
2007,14001055,52,60.17
2005,14001055,20,48.7
2006,14001055,48,50.73
2005,14002345,20,37.33
2006,14002345,18,38.88
2007,14002345,21,43.06
2005,14002710,29,41.45
2006,14002710,12,41.75
2007,14002710,17,45.8
2005,14004267,28,40.06
2006,14004267,53,38.26
2007,14004267,43,49.47
2005,14005824,135,39.81
2006,14005824,136,38.89
2007,14005824,156,43.67
2006,14006111,45,45.28
2005,14006111,24,50.42
2007,14006111,50,53.45
2005,14006200,97,37.84
2006,14006200,69,36.25
2007,14006200,70,47.25
2007,14321050,72,44.56
2005,14321050,94,38.94
2006,14321050,54,32.92
2006,14321459,20,43.13
2005,14321459,18,37.3
2007,14321459,19,44.57
2005,14324059,61,52.45
2006,14324059,53,48.74
2007,14324059,37,62.42
2005,14324067,90,44.64
2006,14324067,89,45.55
2007,14324067,85,53.36
2007,15000036,78,42.6
2006,15000036,49,33.23
2005,15000036,30,40.93
2005,15001504,790,38.62
2006,15001504,561,38.23
2007,15001504,644,46.35
2005,15002853,461,42.55
2007,15002853,265,45.27
2006,15002853,261,37.31
2005,15004783,187,32.72
2006,15004783,208,30.66
2007,15004783,194,41.72
2007,15005100,265,44.18
2005,15005100,415,38.94
2006,15005100,234,37.0
2005,15005186,283,39.37
2006,15005186,312,36.39
2007,15005186,337,45.42
2006,15007324,197,34.22
2007,15007324,185,41.3
2005,15007324,194,38.83
2005,15007375,466,37.38
2006,15007375,412,35.89
2007,15007375,405,45.67
2005,15011070,224,57.96
2006,15011070,205,51.72
2007,15011070,169,61.09
2005,15011097,37,51.16
2007,15011097,35,65.0
2006,15011097,51,50.25
2005,15011259,44,44.57
2006,15011259,30,46.05
2007,15011259,59,51.12
2005,15011275,61,47.73
2006,15011275,80,49.45
2007,15011275,73,56.59
2005,15011330,135,42.17
2006,15011330,102,32.37
2007,15011330,86,42.96
2005,15011356,237,42.92
2006,15011356,158,39.74
2007,15011356,134,50.0
2005,15011372,1251,43.49
2007,15011372,1253,51.22
2006,15011372,1296,41.6
2005,15011380,86,37.3
2007,15011380,119,43.07
