gender,asian,black,hawaiian,hispanic,unknown,white,format_ol,format_blended,falsexam
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,63.26
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,56.63998
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,83.32
0,,,,,,,1,0.0,78.31
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,69.95998
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,83.32
0,,,,,,,0,0.0,96.68
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,76.63996
0,,,,,,,1,0.0,78.36
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,65.04
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,84.99
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,68.34
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,88.38
1,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,79.959
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,63.35
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,70.08
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,68.34
1,,,,,,,0,1.0,90.0
0,,,,,,,1,0.0,86.66
0,,,,,,,0,1.0,59.99
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,55.07
1,,,,,,,0,1.0,88.33
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,81.76
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,66.69
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,85.04
1,,,,,,,1,0.0,90.0
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,73.3
1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,73.28
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,73.3
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,91.69
1,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,69.98
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,83.32
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,54.949980000000004
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,70.0
1,,,,,,,0,1.0,51.66
1,,,,,,,0,0.0,81.63
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,81.72
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,90.05
0,,,,,,,1,0.0,51.67998
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,73.3
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,76.64
0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,58.34
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,78.31
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,83.3
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,51.678999999999995
0,,,,,,,0,0.0,61.67997
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,76.66
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,56.70997
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,79.99996999999999
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,79.98
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,73.3
0,,,,,,,0,0.0,73.39
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,71.64996
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,79.97995
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,71.62997
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,79.98
0,,,,,,,0,0.0,86.64
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,83.39
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,64.979
1,,,,,,,1,0.0,93.39
0,,,,,,,0,0.0,70.03
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,84.97
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,89.98
1,,,,,,,1,0.0,56.65
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,78.34995
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,74.90996
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,78.31
0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,81.7
0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,66.64
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,86.64
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,79.98
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,81.65
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,84.97
0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,76.71
0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,60.08
0,,,,,,,0,1.0,91.65
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,75.06
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,80.05
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,81.67
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,86.65994
1,,,,,,,0,1.0,83.3
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,74.95997
0,,,,,,,0,0.0,69.95996
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,88.32994000000001
0,,,,,,,1,0.0,64.95
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,66.64
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,76.64
0,,,,,,,1,0.0,74.99
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,59.94
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,75.02
0,,,,,,,1,0.0,58.31
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,76.76
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,71.68
1,,,,,,,0,0.0,89.98
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,84.99
1,,,,,,,0,0.0,81.63
1,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,83.32
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,73.31997
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,73.27996999999999
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,88.38
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,68.36
0,,,,,,,0,1.0,68.29
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,71.63
1,,,,,,,0,1.0,71.63
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,91.65
1,,,,,,,0,0.0,68.31
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,75.02
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,73.44
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,50.1
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,63.31998000000001
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,70.03
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,73.32
0,,,,,,,1,0.0,83.3
1,,,,,,,1,0.0,75.06
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,86.66
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,68.32996
0,,,,,,,0,1.0,78.329
0,,,,,,,1,0.0,68.31
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,75.02
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,78.33
0,,,,,,,0,1.0,73.28
0,,,,,,,0,0.0,74.97
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,70.05
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,76.63996999999999
1,,,,,,,0,1.0,84.99
0,,,,,,,0,1.0,71.74
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,88.33
0,,,,,,,1,0.0,63.28
1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,91.74
1,,,,,,,1,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,79.98
1,,,,,,,0,0.0,69.94
1,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,63.27997
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,84.99
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,73.3
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88.33
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,83.29997
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,84.97
1,,,,,,,1,0.0,81.65
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,83.3
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.99994000000001
0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,79.93996
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,78.29
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,86.64
1,,,,,,,0,0.0,91.67
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,76.75
0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,73.28
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,70.03
1,,,,,,,0,0.0,83.32
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,90.0
1,,,,,,,0,1.0,83.32
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,83.3
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,78.31
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,88.33
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,83.37
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,86.66
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,86.66
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,84.99
1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,88.33
1,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,88.33
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,81.65
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,78.229
1,,,,,,,0,1.0,76.73
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,89.98
1,,,,,,,0,1.0,74.95
1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,75.02
0,,,,,,,0,1.0,56.759980000000006
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,81.669
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,58.27
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,81.63
0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,58.299969999999995
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,78.38
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,81.72
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,84.99
0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,81.67
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,86.66
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88.31
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,65.02
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,80.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,78.37995
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,86.66
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,83.34
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,84.99
0,,,,,,,0,1.0,89.98
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,66.69
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,83.37
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,88.33
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,86.64
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,90.0
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,84.97
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,73.32
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,85.01
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,75.06
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,81.65
0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,68.27
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,83.34
1,,,,,,,1,0.0,80.05
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,86.64
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,81.65
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,68.36
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,80.0
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,73.35
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,68.36
0,,,,,,,0,1.0,61.63
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,56.71
1,,,,,,,0,1.0,78.31
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,90.0
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,70.03
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,68.28996
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,76.73
1,,,,,,,1,0.0,86.65996
0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,48.33998
1,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,81.7
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,81.72
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,56.59996999999999
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,81.65
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,94.99
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,59.92
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,61.68
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,86.64
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,86.66
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,88.31
1,,,,,,,1,0.0,81.7
1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,68.34
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,78.4
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,74.97
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,83.32
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,84.99
1,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,76.62
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,68.36
1,,,,,,,0,1.0,76.62
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,66.62
0,,,,,,,1,0.0,74.90997
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,79.96
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,88.33
0,,,,,,,0,1.0,76.71
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,65.02
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,83.32
1,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,86.75
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,83.44
1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,95.01
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,69.99996999999999
0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,86.68
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,66.65899999999999
1,,,,,,,0,1.0,76.62
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,71.61
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,90.0
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,60.01
1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,94.99
0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,83.3
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,83.32
1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,70.0
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,73.37
1,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,83.39
0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
1,,,,,,,0,1.0,69.96
1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,86.71
1,,,,,,,0,0.0,90.0
0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,61.68
0,,,,,,,0,0.0,73.37
1,,,,,,,0,1.0,88.31
0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,91.65
1,,,,,,,0,0.0,84.99
0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,68.36
1,,,,,,,1,0.0,70.05
0,,,,,,,1,0.0,66.69
1,,,,,,,1,0.0,83.29997
1,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,96.68
